Quarter,Time,Down,ToGo,Location,DEN,LVR,Detail,EPB,EPA
2,12:08,2,2,DEN 50,3,7,Bo Nix pass complete deep middle to Devaughn Vele for 24 yards (tackle by Decamerion Richardson),2.270,3.840
2,11:30,1,10,LVR 26,3,7,Javonte Williams up the middle for -3 yards (tackle by Maxx Crosby),3.840,2.890
2,10:51,2,13,LVR 29,3,7,Bo Nix scrambles left end for 5 yards (tackle by Divine Deablo),2.890,2.870
2,10:03,3,8,LVR 24,3,7,Bo Nix sacked by Tyree Wilson for -11 yards,2.870,0.970
2,9:26,4,19,LVR 35,6,7,Wil Lutz 53 yard field goal good,0.970,3.000
2,9:21,,,DEN 35,6,7,Wil Lutz kicks off 65 yards touchback.,0.000,0.940
2,9:21,1,10,LVR 30,6,7,Gardner Minshew pass incomplete deep right intended for Tre Tucker (defended by Riley Moss),0.940,0.390
2,9:15,2,10,LVR 30,6,7,Gardner Minshew pass incomplete short right intended for Brock Bowers,0.390,-0.300
2,9:09,3,10,LVR 30,6,7,Gardner Minshew pass complete short right to Ameer Abdullah for 6 yards (tackle by Riley Moss),-0.300,-0.980
2,8:33,4,4,LVR 36,6,7,AJ Cole pass complete short right to Divine Deablo for 34 yards (tackle by Marvin Mims),-0.980,3.580
2,7:46,1,10,DEN 30,6,7,Gardner Minshew pass complete short middle to Tre Tucker for 1 yard (tackle by Nik Bonitto),3.580,3.170
2,7:05,2,9,DEN 29,6,7,Sincere McCormick up the middle for 5 yards (tackle by Cody Barton),3.170,3.140
2,6:26,3,4,DEN 24,6,7,Gardner Minshew pass complete short right to Ameer Abdullah for 13 yards (tackle by Jonathon Cooper),3.140,4.840
2,5:45,1,10,DEN 11,6,7,Ameer Abdullah left guard for no gain (tackle by Justin Strnad),4.840,4.140
2,5:03,2,10,DEN 11,6,7,Gardner Minshew pass incomplete short right,4.140,3.130
2,4:53,3,10,DEN 11,6,7,Gardner Minshew pass complete short middle to Tre Tucker for no gain (tackle by Ja'Quan McMillian). Penalty on Delmar Glaze: Offensive Holding 10 yards (accepted) (no play),3.130,2.280
2,4:30,3,20,DEN 21,6,7,Ameer Abdullah up the middle for 5 yards (tackle by Riley Moss),2.280,2.380
2,3:52,4,15,DEN 16,6,10,Daniel Carlson 34 yard field goal good,2.380,3.000
