Quarter,Time,Down,ToGo,Location,DAL,WAS,Detail,EPB,EPA
2,11:12,3,22,DAL 21,0,3,Cooper Rush pass incomplete short right intended for CeeDee Lamb (defended by Frankie Luvu),-1.680,-1.960
2,11:08,4,22,DAL 21,0,3,Bryan Anger punts 56 yards returned by Olamide Zaccheaus for 19 yards (tackle by Luke Schoonmaker),-1.960,-1.730
2,10:55,1,10,WAS 42,0,3,Jayden Daniels pass complete short middle to Noah Brown for 3 yards (tackle by Eric Kendricks),1.730,1.590
2,10:21,2,7,WAS 45,0,3,Penalty on Zach Ertz: False Start 5 yards (accepted) (no play),1.590,0.920
2,10:04,2,12,WAS 40,0,3,Jayden Daniels pass complete short right to Noah Brown for 13 yards (tackle by Josh Butler),0.920,2.460
2,9:35,1,10,DAL 47,0,3,Jayden Daniels sacked by Micah Parsons for -1 yards,2.460,1.780
2,9:00,2,11,DAL 48,0,3,Jayden Daniels pass complete short left to Dyami Brown for 2 yards (tackle by Eric Kendricks),1.780,1.350
2,8:31,3,9,DAL 46,0,3,Jayden Daniels pass incomplete deep right intended for Noah Brown (defended by Josh Butler),1.350,0.200
2,8:22,4,9,DAL 46,0,3,Tress Way punts 39 yards out of bounds,0.200,0.380
2,8:14,1,10,DAL 7,0,3,Cooper Rush left end for 3 yards (tackle by Dante Fowler),-0.380,-0.560
2,7:45,2,7,DAL 10,0,3,Rico Dowdle left end for 6 yards (tackle by Bobby Wagner),-0.560,-0.370
2,6:51,,,,,,Timeout #1 by Dallas Cowboys,,
2,6:51,3,1,DAL 16,0,3,Ezekiel Elliott right tackle for no gain (tackle by Daron Payne and Mike Sainristil). Penalty on Luke Schoonmaker: Offensive Holding 10 yards (declined),-0.370,-2.390
2,6:29,4,1,DAL 16,0,3,Bryan Anger punts 23 yards,-2.390,-2.980
2,6:19,1,10,DAL 39,0,3,Brian Robinson up the middle for no gain (tackle by Osa Odighizuwa),2.980,2.440
2,5:48,2,10,DAL 39,0,3,Jayden Daniels pass complete short middle to Brian Robinson for 11 yards (tackle by DeMarvion Overshown and Eric Kendricks),2.440,3.710
2,5:11,1,10,DAL 28,0,3,Jayden Daniels pass short middle intended for Brian Robinson is intercepted by Chauncey Golston at DAL-32 and returned for 18 yards (tackle by Jayden Daniels and Brian Robinson),3.710,-2.260
2,5:01,1,10,DAL 50,0,3,Cooper Rush pass complete short middle to Rico Dowdle for -3 yards (tackle by Frankie Luvu),2.260,1.310
2,4:19,2,13,DAL 47,0,3,Cooper Rush pass complete short right to CeeDee Lamb for 4 yards (tackle by Mike Sainristil),1.310,1.160
2,3:38,3,9,WAS 49,0,3,Cooper Rush pass complete short middle to CeeDee Lamb for 1 yard (tackle by Benjamin St-Juste),1.160,0.070
2,2:39,4,8,WAS 48,0,3,Bryan Anger punts 32 yards fair catch by Olamide Zaccheaus at WAS-16,0.070,0.140
