,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,-additional
Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng,-9999
Devin Duvernay,JAX,0,0,,0,0,1,3,3.0,0,3,DuveDe00
Parker Washington,JAX,2,44,22.0,0,24,0,0,,0,0,WashPa01
Braxton Berrios,MIA,0,0,,0,0,2,2,1.0,0,7,BerrBr00
Tyreek Hill,MIA,0,0,,0,0,1,11,11.0,0,11,HillTy00
