,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,-additional
Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng,-9999
KaVontae Turpin,DAL,1,34,34.0,0,34,5,96,19.2,1,60,TurpKa00
Jaelon Darden,CLE,4,97,24.3,0,28,5,72,14.4,0,28,DardJa00
