,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,-additional
Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng,-9999
Brandon Powell,MIN,0,0,,0,0,1,0,0.0,0,0,PoweBr00
Darius Slayton,NYG,0,0,,0,0,1,0,0.0,0,0,SlayDa01
Eric Gray,NYG,1,22,22.0,0,22,0,0,,0,0,GrayEr01
