,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,-additional
Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng,-9999
Calvin Austin,PIT,0,0,,0,0,4,47,11.8,0,19,AustCa00
Avery Williams,ATL,0,0,,0,0,2,28,14.0,0,28,WillAv02
Ray-Ray McCloud,ATL,2,56,28.0,0,29,0,0,,0,0,McClRa00
