,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,-additional
Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng,-9999
Keisean Nixon,GNB,1,24,24.0,0,24,0,0,,0,0,NixoKe00
Kenneth Gainwell,PHI,2,38,19.0,0,29,0,0,,0,0,GainKe00
