,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,-additional
Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng,-9999
Jha'Quan Jackson,TEN,5,127,25.4,0,30,4,30,7.5,0,12,JackJh00
DeAndre Carter,CHI,1,67,67.0,0,67,5,64,12.8,0,20,CartDe02
Velus Jones Jr.,CHI,1,0,0.0,0,0,0,0,,0,0,JoneVe00
