,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,-additional
Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng,-9999
Marvin Mims,DEN,3,69,23.0,0,26,5,47,9.4,0,18,MimsMa00
Dee Williams,SEA,0,0,,0,0,1,0,0.0,0,0,WillDe11
Laviska Shenault Jr.,SEA,3,74,24.7,0,31,0,0,,0,0,ShenLa00
