,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,-additional
Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng,-9999
Xavier Gipson,NYJ,3,77,25.7,0,28,1,4,4.0,0,4,GipsXa00
Jacob Cowing,SFO,0,0,,0,0,2,15,7.5,0,8,CowiJa00
