,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,-additional
Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng,-9999
Greg Dortch,ARI,0,0,,0,0,1,6,6.0,0,6,DortGr01
DeeJay Dallas,ARI,3,123,41.0,1,96,0,0,,0,0,DallDe00
Brandon Codrington,BUF,1,53,53.0,0,53,1,7,7.0,0,7,CodrBr00
