,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,-additional
Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng,-9999
Raheem Blackshear,CAR,8,204,25.5,0,31,0,0,,0,0,BlacRa00
Xavier Legette,CAR,1,28,28.0,0,28,0,0,,0,0,LegeXa00
Rashid Shaheed,NOR,1,33,33.0,0,33,3,60,20.0,0,47,ShahRa00
Cedrick Wilson Jr.,NOR,0,0,,0,0,1,0,0.0,0,0,WilsCe01
Jamaal Williams,NOR,1,32,32.0,0,32,0,0,,0,0,WillJa06
