,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,-additional
Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng,-9999
Kyren Williams,LAR,0,0,,0,0,1,0,0.0,0,0,WillKy02
Jordan Whittington,LAR,1,20,20.0,0,20,0,0,,0,0,WhitJo04
Kalif Raymond,DET,0,0,,0,0,3,18,6.0,0,11,RaymKa00
