,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,-additional
Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng,-9999
Tre Tucker,LVR,0,0,,0,0,2,28,14.0,0,21,TuckTr00
Ameer Abdullah,LVR,1,28,28.0,0,28,0,0,,0,0,AbduAm00
Derius Davis,LAC,1,35,35.0,0,35,1,9,9.0,0,9,DaviDe02
