,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,-additional
Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng,-9999
Austin Ekeler,WAS,2,48,24.0,0,24,0,0,,0,0,EkelAu00
Trey Palmer,TAM,0,0,,0,0,1,15,15.0,0,15,PalmTr00
Sean Tucker,TAM,1,22,22.0,0,22,0,0,,0,0,TuckSe00
