,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,-additional
Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng,-9999
Marcus Jones,NWE,0,0,,0,0,1,10,10.0,0,10,JoneMa06
Jamycal Hasty,NWE,1,27,27.0,0,27,0,0,,0,0,HastJa02
Charlie Jones,CIN,0,0,,0,0,4,22,5.5,0,10,JoneCh11
