Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Player-additional
Kyren Williams,LAR,12,25,1,2,10,0.8,15,1.3,0,,WillKy02
Blake Corum,LAR,8,28,0,2,16,2.0,12,1.5,0,,CoruBl00
James Conner,ARI,21,122,1,10,53,2.5,69,3.3,3,7.0,ConnJa00
Trey Benson,ARI,11,10,0,1,2,0.2,8,0.7,0,,BensTr01
Kyler Murray,ARI,5,59,0,2,24,4.8,35,7.0,0,,MurrKy00
Emari Demercado,ARI,2,46,0,1,7,3.5,39,19.5,2,1.0,DemeEm00
Clayton Tune,ARI,1,-6,0,,-6,-6.0,0,0.0,0,,TuneCl00
