Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Player-additional
Xavier Legette,CAR,7,4,35,0,2,30,7.5,5,1.3,16.0,0,,0,0.0,0,70.5,LegeXa00
Adam Thielen,CAR,4,3,49,0,2,31,10.3,18,6.0,16.0,0,,0,0.0,1,76.0,ThieAd00
Diontae Johnson,CAR,6,2,19,0,2,15,7.5,4,2.0,10.5,0,,0,0.0,1,3.5,JohnDi01
Jonathan Mingo,CAR,5,2,40,0,1,24,12.0,16,8.0,7.4,0,,1,20.0,0,68.7,MingJo00
David Moore,CAR,3,1,14,0,,14,14.0,0,0.0,12.0,0,,0,0.0,0,49.3,MoorDa03
Ja'Tavion Sanders,CAR,1,1,4,0,,-3,-3.0,7,7.0,-3.0,0,,0,0.0,0,83.3,SandJa01
Jordan Matthews,CAR,1,0,0,0,,0,,0,,16.0,0,,0,0.0,0,39.6,MattJo00
Miles Sanders,CAR,2,0,0,0,,0,,0,,13.5,0,,0,0.0,0,39.6,SandMi01
Alvin Kamara,NOR,5,5,27,0,0,-17,-3.4,44,8.8,-3.4,1,5.0,0,0.0,0,89.2,KamaAl00
Foster Moreau,NOR,4,4,43,1,2,35,8.8,8,2.0,8.8,0,,0,0.0,0,151.0,MoreFo00
Rashid Shaheed,NOR,5,3,73,1,2,43,14.3,30,10.0,19.4,0,,0,0.0,0,143.7,ShahRa00
Chris Olave,NOR,2,2,11,0,1,12,6.0,-1,-0.5,6.0,0,,0,0.0,0,89.6,OlavCh00
Juwan Johnson,NOR,3,2,26,1,1,22,11.0,4,2.0,14.0,0,,0,0.0,0,133.3,JohnJu02
Taysom Hill,NOR,2,1,1,0,0,0,0.0,1,1.0,11.0,0,,0,0.0,0,56.2,HillTa00
Mason Tipton,NOR,1,1,6,0,,5,5.0,1,1.0,5.0,0,,0,0.0,0,91.7,TiptMa00
Jamaal Williams,NOR,1,1,13,0,1,4,4.0,9,9.0,4.0,0,,0,0.0,0,118.7,WillJa06
Bub Means,NOR,1,0,0,0,,0,,0,,8.0,0,,0,0.0,0,39.6,MeanBu00
