Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Player-additional
Romeo Doubs,GNB,7,4,50,0,2,36,9.0,14,3.5,8.6,0,,1,14.3,0,79.5,DoubRo00
Jayden Reed,GNB,6,4,138,1,3,83,20.8,55,13.8,17.3,1,4.0,0,0.0,0,149.3,ReedJa03
Christian Watson,GNB,5,3,13,1,1,10,3.3,3,1.0,10.6,0,,0,0.0,0,104.2,WatsCh00
Josh Jacobs,GNB,3,2,20,0,1,-9,-4.5,29,14.5,-3.7,0,,0,0.0,0,85.4,JacoJo01
Tucker Kraft,GNB,3,2,37,0,1,7,3.5,30,15.0,3.7,0,,1,33.3,0,109.0,KrafTu00
Emanuel Wilson,GNB,3,2,2,0,1,-5,-2.5,7,3.5,-2.7,0,,0,0.0,0,70.1,WilsEm00
Luke Musgrave,GNB,2,0,0,0,,0,,0,,16.5,0,,0,0.0,1,0.0,MusgLu00
Dontayvion Wicks,GNB,3,0,0,0,,0,,0,,13.0,0,,2,66.7,0,39.6,WickDo00
DeVonta Smith,PHI,8,7,84,0,5,33,4.7,51,7.3,8.0,0,,0,0.0,1,70.8,SmitDe07
A.J. Brown,PHI,10,5,119,1,5,54,10.8,65,13.0,10.8,0,,0,0.0,1,87.1,BrowAJ00
Dallas Goedert,PHI,5,4,31,0,1,0,0.0,31,7.8,-0.8,0,,0,0.0,0,92.5,GoedDa00
Saquon Barkley,PHI,2,2,23,1,1,20,10.0,3,1.5,10.0,0,,0,0.0,0,154.2,BarkSa00
Grant Calcaterra,PHI,1,1,11,0,1,5,5.0,6,6.0,5.0,0,,0,0.0,0,112.5,CalcGr00
Kenneth Gainwell,PHI,1,1,10,0,1,-4,-4.0,14,14.0,-4.0,2,0.5,0,0.0,0,108.3,GainKe00
Jahan Dotson,PHI,1,0,0,0,,0,,0,,0.0,0,,0,0.0,0,39.6,DotsJa00
Johnny Wilson,PHI,1,0,0,0,,0,,0,,31.0,0,,0,0.0,0,39.6,WilsJo03
