Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,Player-additional
Roquan Smith,BAL,1,7,6,85.7%,80,13.3,11.4,0,74.7,3.4,16,64,1,0,0,0.0,0,7,1,12.5%,SmitRo07
Trenton Simpson,BAL,0,4,3,75.0%,37,12.3,9.3,0,103.1,5.3,11,26,2,0,0,0.5,1,5,2,28.6%,SimpTr00
Brandon Stephens,BAL,0,3,3,100.0%,43,14.3,14.3,0,118.7,9.3,28,15,0,0,0,0.0,0,4,0,0.0%,StepBr01
Marlon Humphrey,BAL,0,5,3,60.0%,37,12.3,7.4,1,122.5,6.2,17,20,1,0,0,0.0,0,2,0,0.0%,HumpMa00
Malik Harrison,BAL,0,3,2,66.7%,38,19.0,12.7,0,109.7,3.7,0,38,0,0,0,0.0,0,2,1,33.3%,HarrMa06
Marcus Williams,BAL,0,3,1,33.3%,24,24.0,8.0,0,63.2,10.0,17,7,0,0,0,0.0,0,6,0,0.0%,WillMa06
Kyle Hamilton,BAL,0,1,1,100.0%,33,33.0,33.0,0,118.7,13.0,13,20,0,0,0,0.0,0,3,2,40.0%,HamiKy00
Jalyn Armour-Davis,BAL,0,1,1,100.0%,10,10.0,10.0,0,108.3,5.0,5,5,0,0,0,0.0,0,1,0,0.0%,ArmoJa00
David Ojabo,BAL,0,0,0,,,,,,,,,,0,1,0,1.0,2,1,0,0.0%,OjabDa00
Broderick Washington Jr.,BAL,0,0,0,,,,,,,,,,0,2,0,0.0,2,1,1,50.0%,WashBr01
Nnamdi Madubuike,BAL,0,0,0,,,,,,,,,,0,0,1,0.5,2,2,0,0.0%,MaduJu00
Travis Jones,BAL,0,0,0,,,,,,,,,,0,1,0,0.0,1,2,0,0.0%,JoneTr00
Kyle Van Noy,BAL,0,0,0,,,,,,,,,,1,0,1,0.0,1,1,0,0.0%,VanNKy00
Odafe Oweh,BAL,0,0,0,,,,,,,,,,0,0,1,0.0,1,4,1,20.0%,OwehJa00
Michael Pierce,BAL,0,1,0,0.0%,,,0.0,,39.6,-1.0,,,0,1,0,0.0,1,4,0,0.0%,PierMi00
Ar'Darius Washington,BAL,0,1,0,0.0%,,,0.0,,39.6,13.0,,,0,0,0,0.0,0,0,0,,WashAr00
Nick Bolton,KAN,0,5,5,100.0%,85,17.0,17.0,1,158.3,3.4,17,68,3,0,0,0.0,0,7,2,22.2%,BoltNi00
Jaylen Watson,KAN,0,7,5,71.4%,53,10.6,7.6,0,93.2,12.3,22,31,1,0,0,0.0,0,11,0,0.0%,WatsJa02
Chamarri Conner,KAN,0,8,5,62.5%,25,5.0,3.1,0,67.2,2.8,-12,37,1,0,0,0.0,0,6,3,33.3%,ConnCh01
Bryan Cook,KAN,0,4,3,75.0%,59,19.7,14.8,0,116.7,15.8,53,6,0,0,0,0.0,0,6,1,14.3%,CookBr02
Justin Reid,KAN,0,3,3,100.0%,13,4.3,4.3,0,84.7,2.0,6,7,2,0,0,0.0,0,9,1,10.0%,ReidJu00
Drue Tranquill,KAN,0,5,2,40.0%,7,3.5,1.4,0,47.9,0.4,-3,10,6,0,0,0.0,0,4,1,20.0%,TranDr00
Trent McDuffie,KAN,0,6,2,33.3%,22,11.0,3.7,0,45.1,5.3,21,1,1,0,0,0.0,0,4,0,0.0%,McDuTr00
George Karlaftis III,KAN,0,1,1,100.0%,9,9.0,9.0,0,104.2,3.0,3,6,0,3,1,0.0,4,2,0,0.0%,KarlGe00
Chris Jones,KAN,0,0,0,,,,,,,,,,0,5,0,1.0,6,3,0,0.0%,JoneCh09
Leo Chenal,KAN,0,0,0,,,,,,,,,,1,3,0,0.0,3,7,1,12.5%,ChenLe00
Tershawn Wharton,KAN,0,0,0,,,,,,,,,,0,3,0,0.0,3,3,0,0.0%,WharTe00
Michael Danna,KAN,0,0,0,,,,,,,,,,1,0,0,0.0,0,4,0,0.0%,DannMi00
Derrick Nnadi,KAN,0,0,0,,,,,,,,,,0,0,0,0.0,0,0,1,100.0%,NnadDe00
Joshua Williams,KAN,0,1,0,0.0%,,,0.0,,39.6,40.0,,,0,0,0,0.0,0,1,0,0.0%,WillJo03
