Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,Player-additional
Byron Murphy,MIN,0,11,7,63.6%,52,7.4,4.7,0,74.8,5.5,45,7,1,0,0,0.0,0,9,1,10.0%,MurpBy00
Blake Cashman,MIN,0,5,4,80.0%,39,9.8,7.8,0,99.2,3.0,11,28,4,0,0,0.0,0,6,1,14.3%,CashBl00
Josh Metellus,MIN,0,9,3,33.3%,26,8.7,2.9,0,42.4,4.0,16,10,1,0,1,0.0,1,4,0,0.0%,MeteJo00
Stephon Gilmore,MIN,0,3,3,100.0%,29,9.7,9.7,0,106.9,6.0,18,11,0,0,0,0.0,0,4,0,0.0%,GilmSt00
Ivan Pace,MIN,0,2,2,100.0%,12,6.0,6.0,0,91.7,-6.0,-12,24,8,2,1,0.0,3,6,0,0.0%,PaceIv00
Harrison Smith,MIN,1,4,1,25.0%,15,15.0,3.8,0,3.1,12.3,15,0,2,1,0,0.0,1,7,1,12.5%,SmitHa00
Shaquill Griffin,MIN,0,2,1,50.0%,8,8.0,4.0,0,60.4,6.0,5,3,0,0,0,0.0,0,4,1,20.0%,GrifSh00
Bobby McCain,MIN,0,2,1,50.0%,5,5.0,2.5,0,56.2,2.5,5,0,0,0,0,0.0,0,0,0,,McCaBo01
Jonathan Greenard,MIN,0,0,0,,,,,,,,,,0,2,1,0.0,3,0,1,100.0%,GreeJo04
Patrick Jones II,MIN,0,0,0,,,,,,,,,,2,1,0,2.0,3,4,0,0.0%,JonePa00
Jihad Ward,MIN,0,0,0,,,,,,,,,,0,0,2,0.0,2,0,0,,WardJi02
Andrew Van Ginkel,MIN,1,0,0,,,,,,,,,,2,0,1,1.0,2,4,0,0.0%,VanGAn00
Harrison Phillips,MIN,0,0,0,,,,,,,,,,0,1,0,1.0,2,5,0,0.0%,PhilHa00
Dallas Turner,MIN,0,0,0,,,,,,,,,,0,0,0,1.0,1,3,0,0.0%,TurnDa01
Jerry Tillery,MIN,0,0,0,,,,,,,,,,0,0,1,0.0,1,3,0,0.0%,TillJe00
Camryn Bynum,MIN,0,0,0,,,,,,,,,,1,0,0,0.0,0,4,0,0.0%,BynuCa00
Deonte Banks,NYG,0,4,3,75.0%,56,18.7,14.0,1,156.2,11.5,42,14,0,0,0,0.0,0,4,0,0.0%,BankDe00
Andru Phillips,NYG,0,2,2,100.0%,14,7.0,7.0,0,95.8,4.0,8,6,0,0,0,0.0,0,4,0,0.0%,PhilAn02
Bobby Okereke,NYG,0,2,2,100.0%,15,7.5,7.5,0,97.9,3.0,6,9,0,0,0,0.0,0,3,1,25.0%,OkerBo00
Cordale Flott,NYG,0,2,2,100.0%,30,15.0,15.0,1,158.3,13.0,26,4,0,0,0,0.0,0,3,0,0.0%,FlotCo00
Darius Muasau,NYG,1,3,2,66.7%,15,7.5,5.0,0,38.9,0.0,-3,18,2,0,0,0.0,0,6,1,14.3%,MuasDa00
Adoree' Jackson,NYG,0,2,2,100.0%,9,4.5,4.5,0,85.4,1.5,3,6,0,0,0,0.0,0,2,0,0.0%,JackAd00
Nick McCloud,NYG,0,2,2,100.0%,29,14.5,14.5,0,118.7,14.5,29,0,0,0,0,0.0,0,2,0,0.0%,McClNi00
Brian Burns,NYG,0,1,1,100.0%,5,5.0,5.0,0,87.5,5.0,5,0,3,1,0,0.0,1,4,0,0.0%,BurnBr00
Azeez Ojulari,NYG,0,1,1,100.0%,3,3.0,3.0,0,79.2,3.0,3,0,0,0,0,0.0,0,1,1,50.0%,OjulAz00
Tyler Nubin,NYG,0,1,1,100.0%,22,22.0,22.0,0,118.7,21.0,21,1,0,0,0,0.0,0,6,0,0.0%,NubiTy00
Dane Belton,NYG,0,2,1,50.0%,10,10.0,5.0,0,64.6,6.0,0,10,0,0,0,0.0,0,1,0,0.0%,BeltDa00
Dexter Lawrence,NYG,0,0,0,,,,,,,,,,0,2,0,1.0,3,3,0,0.0%,LawrDe03
D.J. Davidson,NYG,0,0,0,,,,,,,,,,0,1,0,0.0,1,0,0,,DaviDJ00
Kayvon Thibodeaux,NYG,0,0,0,,,,,,,,,,2,0,1,0.0,1,0,1,100.0%,ThibKa00
Jason Pinnock,NYG,0,1,0,0.0%,,,0.0,,39.6,19.0,,,0,0,0,0.0,0,2,0,0.0%,PinnJa01
