Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,Player-additional
L'Jarius Sneed,TEN,0,7,4,57.1%,41,10.3,5.9,0,74.1,8.7,32,9,0,0,0,0.0,0,4,1,20.0%,SneeLJ00
Roger McCreary,TEN,0,4,3,75.0%,15,5.0,3.8,0,80.2,0.3,1,14,1,0,0,0.0,0,5,0,0.0%,McCrRo01
Amani Hooker,TEN,0,7,2,28.6%,9,4.5,1.3,0,39.6,7.1,-7,16,1,0,1,0.0,1,6,0,0.0%,HookAm00
Kenneth Murray,TEN,0,4,2,50.0%,12,6.0,3.0,0,56.2,2.0,7,5,1,0,0,0.0,0,6,0,0.0%,MurrKe00
Jack Gibbens,TEN,0,2,1,50.0%,-1,-1.0,-0.5,0,56.2,2.0,-5,4,2,1,0,0.0,1,4,0,0.0%,GibbJa00
Jarvis Brownlee,TEN,0,3,1,33.3%,11,11.0,3.7,0,45.1,15.3,11,0,0,0,0,0.0,0,2,0,0.0%,BrowJa09
Quandre Diggs,TEN,0,2,1,50.0%,6,6.0,3.0,0,56.2,6.0,6,0,0,0,0,0.0,0,4,0,0.0%,DiggQu00
Harold Landry,TEN,0,0,0,,,,,,,,,,0,0,1,1.0,2,6,0,0.0%,LandHa00
T'Vondre Sweat,TEN,0,0,0,,,,,,,,,,0,1,0,0.0,1,0,0,,SweaTV01
Caleb Murphy,TEN,0,0,0,,,,,,,,,,0,1,0,0.0,1,1,0,0.0%,MurpCa00
James Lynch,TEN,0,0,0,,,,,,,,,,0,1,0,0.0,1,0,0,,LyncJa00
Sebastian Joseph-Day,TEN,0,0,0,,,,,,,,,,0,0,0,1.0,1,3,0,0.0%,JoseSe00
James Williams,TEN,0,1,0,0.0%,,,0.0,,39.6,0.0,,,0,0,0,0.0,0,0,0,,WillJa15
Ernest Jones,TEN,0,0,0,,,,,,,,,,1,0,0,0.0,0,3,0,0.0%,JoneEr01
T.J. Edwards,CHI,0,9,8,88.9%,35,4.4,3.9,0,82.9,1.4,13,22,0,0,0,0.0,0,15,1,6.3%,EdwaTJ02
Kyler Gordon,CHI,0,4,3,75.0%,37,12.3,9.3,0,103.1,7.8,35,2,0,0,0,0.0,0,4,1,20.0%,GordKy00
Tremaine Edmunds,CHI,0,3,3,100.0%,5,1.7,1.7,0,79.2,-2.3,-7,12,2,0,0,0.0,0,4,1,20.0%,EdmuTr01
Tyrique Stevenson,CHI,1,9,3,33.3%,47,15.7,5.2,1,49.1,13.9,39,8,0,0,0,0.0,0,4,0,0.0%,StevTy01
Jaquan Brisker,CHI,0,1,1,100.0%,3,3.0,3.0,0,79.2,-3.0,-3,6,0,0,0,0.0,0,9,2,18.2%,BrisJa01
DeMarcus Walker,CHI,0,0,0,,,,,,,,,,0,0,4,0.0,4,1,0,0.0%,WalkDe03
Gervon Dexter,CHI,0,0,0,,,,,,,,,,0,1,1,1.0,3,4,0,0.0%,DextGe00
Darrell Taylor,CHI,0,0,0,,,,,,,,,,0,1,0,2.0,3,8,1,11.1%,TaylDa00
Andrew Billings,CHI,0,0,0,,,,,,,,,,0,1,2,0.0,3,2,0,0.0%,BillAn00
Montez Sweat,CHI,0,0,0,,,,,,,,,,0,2,0,0.0,2,2,0,0.0%,SweaMo00
Jaylon Johnson,CHI,1,2,0,0.0%,,,0.0,,0.0,34.0,,,0,0,0,0.0,0,3,0,0.0%,JohnJa13
