Quarter,Time,Down,ToGo,Location,PIT,CIN,Detail,EPB,EPA
1,5:51,1,10,CIN 46,7,7,Chase Brown right guard for 13 yards (tackle by DeShon Elliott and Cameron Sutton),1.990,2.850
1,5:06,1,10,PIT 41,7,7,Chase Brown right guard for no gain touchdown Replay Assistant challenged the runner broke the plane ruling and the original play was overturned. Chase Brown right guard for 40 yards (tackle by Minkah Fitzpatrick and Joey Porter),2.850,6.970
1,5:04,1,1,PIT 1,7,13,Chase Brown up the middle for 1 yard touchdown,6.970,7.000
1,5:01,,,PIT 15,7,14,Evan McPherson kicks extra point good,0.000,0.000
1,5:01,,,CIN 35,7,14,Evan McPherson kicks off 65 yards touchback.,0.000,0.940
1,5:01,1,10,PIT 30,7,14,Cordarrelle Patterson left guard for 2 yards (tackle by Jordan Battle and Kris Jenkins),0.940,0.660
1,4:18,2,8,PIT 32,7,14,Russell Wilson pass incomplete short right intended for Van Jefferson,0.660,-0.030
1,4:15,3,8,PIT 32,7,14,Russell Wilson pass complete short middle to George Pickens for 21 yards (tackle by Cam Taylor-Britt). Penalty on George Pickens: Taunting / Offense 15 yards (accepted),-0.030,1.470
1,3:46,1,10,PIT 38,7,14,Russell Wilson pass complete short left to Pat Freiermuth for 3 yards (tackle by Cam Taylor-Britt and Germaine Pratt),1.470,1.330
1,3:03,2,7,PIT 41,7,14,Russell Wilson pass complete short right to Darnell Washington for 10 yards (tackle by Josh Newton),1.330,2.320
1,2:14,1,10,CIN 49,7,14,Penalty on Russell Wilson: Delay of Game 5 yards (accepted) (no play),2.320,1.990
1,2:12,1,15,PIT 46,7,14,Russell Wilson pass complete short middle to Cordarrelle Patterson for 8 yards (tackle by Germaine Pratt and Kris Jenkins),1.990,2.190
1,1:46,2,7,CIN 46,7,14,Russell Wilson pass complete short middle to Cordarrelle Patterson for 9 yards (tackle by Akeem Davis-Gaither and Germaine Pratt),2.190,3.120
1,1:14,1,10,CIN 37,7,14,Cordarrelle Patterson right end for 12 yards (tackle by Kris Jenkins),3.120,3.910
1,0:33,1,10,CIN 25,7,14,Cordarrelle Patterson right end for 2 yards (tackle by B.J. Hill and Kris Jenkins),3.910,3.630
2,15:00,2,8,CIN 23,13,14,Russell Wilson pass complete deep middle to Calvin Austin for 23 yards touchdown,3.630,7.000
2,14:56,,,CIN 15,14,14,Chris Boswell kicks extra point good,0.000,0.000
2,14:56,,,PIT 35,14,14,Chris Boswell kicks off 65 yards touchback.,0.000,0.940
2,14:56,1,10,CIN 30,14,14,Joe Burrow pass complete short left to Ja'Marr Chase for 7 yards (tackle by Patrick Queen),0.940,1.340
2,14:19,2,3,CIN 37,14,14,Khalil Herbert left end for 14 yards (tackle by DeShon Elliott),1.340,2.320
2,13:41,1,10,PIT 49,14,14,Joe Burrow pass incomplete deep right intended for Tee Higgins. Penalty on Joey Porter: Defensive Holding 5 yards (accepted) (no play),2.320,2.650
2,13:37,1,10,PIT 44,14,14,Joe Burrow pass incomplete short middle intended for Tee Higgins,2.650,2.110
2,13:33,2,10,PIT 44,14,14,Joe Burrow scrambles up the middle for 8 yards (tackle by Patrick Queen and Payton Wilson),2.110,2.480
2,12:56,3,2,PIT 36,14,14,Joe Burrow pass complete short right to Chase Brown for 6 yards (tackle by Larry Ogunjobi),2.480,3.580
2,12:16,1,10,PIT 30,14,14,Joe Burrow pass complete short right to Chase Brown for 4 yards (tackle by Payton Wilson),3.580,3.570
2,11:33,2,6,PIT 26,14,14,Joe Burrow pass incomplete short middle intended for Chase Brown. Penalty on Drew Sample: Offensive Holding 10 yards (accepted) (no play),3.570,2.220
2,11:29,2,16,PIT 36,14,14,Joe Burrow pass complete short middle to Mike Gesicki for 18 yards (tackle by DeShon Elliott),2.220,4.370
