Quarter,Time,Down,ToGo,Location,LAC,ATL,Detail,EPB,EPA
2,9:00,4,4,ATL 36,6,7,Bradley Pinion punts 43 yards fair catch by Derius Davis at LAC-21,-0.980,-0.340
2,8:53,1,10,LAC 21,6,7,Gus Edwards left tackle for 3 yards (tackle by Grady Jarrett),0.340,0.210
2,8:15,2,7,LAC 24,6,7,Justin Herbert pass complete short right to Ladd McConkey for 6 yards (tackle by DeAundre Alford),0.210,0.300
2,7:31,3,1,LAC 30,6,7,Justin Herbert left guard for 2 yards (tackle by David Onyemata),0.300,1.070
2,6:53,1,10,LAC 32,6,7,Kimani Vidal left tackle for 16 yards (tackle by Jessie Bates),1.070,2.130
2,6:11,1,10,LAC 48,6,7,Justin Herbert pass complete short right to Ladd McConkey for -4 yards (tackle by AJ Terrell),2.130,1.040
2,5:30,2,14,LAC 44,6,7,Justin Herbert pass complete short left to Ladd McConkey for 13 yards (tackle by AJ Terrell),1.040,2.080
2,4:53,3,1,ATL 43,6,7,Justin Herbert left guard for 2 yards (tackle by Brandon Dorlus),2.080,2.850
2,4:15,1,10,ATL 41,6,7,Justin Herbert pass complete short right to Gus Edwards for 1 yard (tackle by Arnold Ebiketie),2.850,2.440
2,3:30,2,9,ATL 40,6,7,Gus Edwards right guard for 9 yards (tackle by Lorenzo Carter and Nathan Landman),2.440,3.510
2,2:48,1,10,ATL 31,6,7,Penalty on Will Dissly: False Start 5 yards (accepted) (no play),3.510,3.180
2,2:25,1,15,ATL 36,6,7,Justin Herbert pass incomplete short left intended for Stone Smartt (defended by Justin Simmons),3.180,2.290
2,2:19,2,15,ATL 36,6,7,Justin Herbert pass complete short left to Ladd McConkey for 7 yards (tackle by DeAundre Alford),2.290,2.540
2,2:00,3,8,ATL 29,6,7,Justin Herbert pass complete short middle to Ladd McConkey for 13 yards (tackle by DeAundre Alford),2.540,4.510
2,1:19,1,10,ATL 16,6,7,Justin Herbert sacked by Arnold Ebiketie for no gain,4.510,3.900
2,1:10,,,,,,Timeout #1 by Atlanta Falcons,,
2,1:10,2,10,ATL 16,6,7,Justin Herbert pass incomplete short middle intended for Will Dissly (defended by Kaden Elliss),3.900,3.080
2,1:06,3,10,ATL 16,6,7,Justin Herbert pass incomplete deep right intended for Quentin Johnston (defended by Clark Phillips),3.080,2.380
2,1:02,4,10,ATL 16,9,7,Cameron Dicker 34 yard field goal good,2.380,3.000
2,0:58,,,LAC 35,9,7,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
2,0:58,1,10,ATL 30,9,7,Kirk Cousins pass complete short right to Drake London for 8 yards (tackle by Derwin James),0.940,1.470
2,0:52,2,2,ATL 38,9,7,Kirk Cousins pass complete short right to Darnell Mooney for 11 yards (tackle by Marcus Maye),1.470,2.190
2,0:36,1,10,ATL 49,9,7,Kirk Cousins pass complete short left to Bijan Robinson for 1 yard (tackle by Daiyan Henley),2.190,1.780
2,0:28,2,9,LAC 50,9,7,Kirk Cousins pass incomplete short middle intended for Ray-Ray McCloud (defended by Khalil Mack),1.780,1.090
2,0:24,3,9,LAC 50,9,7,Kirk Cousins pass incomplete deep left intended for Darnell Mooney,1.090,-0.060
2,0:19,4,9,LAC 50,9,7,Bradley Pinion punts 39 yards fair catch by Derius Davis at LAC-11,-0.060,0.370
2,0:12,1,10,LAC 11,9,7,Justin Herbert kneels for -1 yards,-0.370,-0.850
3,15:00,,,ATL 35,9,7,Bradley Pinion kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,LAC 30,9,7,Justin Herbert pass complete short middle to Josh Palmer for 11 yards (tackle by Clark Phillips),0.940,1.660
3,14:24,1,10,LAC 41,9,7,Kimani Vidal left tackle for no gain (tackle by Kaden Elliss and David Onyemata),1.660,1.120
3,13:42,2,10,LAC 41,9,7,Justin Herbert pass incomplete short right intended for Ladd McConkey (defended by Jessie Bates),1.120,0.430
3,13:34,3,10,LAC 41,9,7,Justin Herbert pass incomplete short right intended for Quentin Johnston (defended by AJ Terrell),0.430,-0.650
3,13:28,4,10,LAC 41,9,7,JK Scott punts 48 yards fair catch by Avery Williams at ATL-11,-0.650,0.370
3,13:21,1,10,ATL 11,9,7,Tyler Allgeier right end for 4 yards (tackle by Khalil Mack),-0.370,-0.430
3,12:46,2,6,ATL 15,9,7,Kirk Cousins pass complete short middle to Ray-Ray McCloud for 22 yards (tackle by Kristian Fulton and Daiyan Henley),-0.430,1.400
3,12:02,1,10,ATL 37,9,7,Kirk Cousins pass incomplete short right,1.400,0.860
3,11:53,2,10,ATL 37,9,7,Kirk Cousins pass incomplete short right intended for Drake London. Penalty on Daiyan Henley: Defensive Pass Interference 5 yards (accepted) (no play),0.860,1.730
3,11:49,1,10,ATL 42,9,7,Bijan Robinson right tackle for 4 yards (tackle by Daiyan Henley and Troy Dye),1.730,1.730
3,11:12,2,6,ATL 46,9,7,Bijan Robinson right tackle for 14 yards (tackle by Daiyan Henley and Kristian Fulton),1.730,2.920
3,10:35,1,10,LAC 40,9,7,Bijan Robinson right guard for 2 yards (tackle by Poona Ford),2.920,2.640
3,10:00,2,8,LAC 38,9,7,Bijan Robinson right guard for no gain (tackle by Daiyan Henley). Penalty on Joey Bosa: Defensive Offside 5 yards (accepted) (no play),2.640,3.320
3,9:40,2,3,LAC 33,9,7,Kirk Cousins pass complete short right to Charlie Woerner for 5 yards (tackle by Marcus Maye and Deane Leonard),3.320,3.710
3,8:54,1,10,LAC 28,9,7,Tyler Allgeier left guard for 3 yards (tackle by Khalil Mack and Teair Tart),3.710,3.570
3,8:14,2,7,LAC 25,9,7,Tyler Allgeier left tackle for 2 yards (tackle by Troy Dye and Poona Ford),3.570,3.140
3,7:34,3,5,LAC 23,9,7,Kirk Cousins pass incomplete short middle intended for Ray-Ray McCloud (defended by Poona Ford),3.140,1.980
3,7:28,4,5,LAC 23,9,10,Younghoe Koo 41 yard field goal good,1.980,3.000
3,7:23,,,ATL 35,9,10,Bradley Pinion kicks off 65 yards,0.000,0.940
3,7:23,1,10,LAC 30,9,10,Justin Herbert pass complete short right to Scott Matlock for 2 yards (tackle by Clark Phillips),0.940,0.660
3,6:41,2,8,LAC 32,9,10,Penalty on Zion Johnson: False Start 4 yards (accepted) (no play),0.660,0.120
3,6:29,2,12,LAC 28,9,10,Justin Herbert sacked by Kentavius Street for -7 yards,0.120,-1.480
3,5:37,3,19,LAC 21,9,10,Justin Herbert pass complete short right to Ladd McConkey for 12 yards (tackle by Troy Andersen and DeAundre Alford),-1.480,-1.180
3,5:24,4,7,LAC 33,9,10,JK Scott punts 46 yards returned by Avery Williams for 10 yards (tackle by Shaquille Quarterman),-1.180,-1.000
3,5:18,1,10,ATL 31,9,10,Bijan Robinson right guard for 5 yards (tackle by Troy Dye). Penalty on Otito Ogbonnia: Defensive Holding 5 yards (accepted),1.000,1.660
3,4:58,1,10,ATL 41,9,10,Bijan Robinson left tackle for 5 yards (tackle by Troy Dye and Otito Ogbonnia),1.660,1.800
3,4:37,2,5,ATL 46,9,10,Bijan Robinson left end for 3 yards (tackle by Elijah Molden),1.800,1.490
3,4:07,3,2,ATL 49,9,10,Bijan Robinson left guard for 1 yard (tackle by Troy Dye),1.490,-0.060
3,3:45,4,1,ATL 50,9,10,Kirk Cousins pass complete short left to Darnell Mooney for 5 yards (tackle by Elijah Molden),-0.060,2.590
3,3:11,1,10,LAC 45,9,10,Bijan Robinson left guard for 3 yards (tackle by Nick Niemann and Derwin James),2.590,2.450
3,2:36,2,7,LAC 42,9,10,Bijan Robinson left tackle for 2 yards (tackle by Morgan Fox),2.450,2.010
3,1:57,3,5,LAC 40,9,10,Kirk Cousins pass incomplete deep left intended for Drake London (defended by Kristian Fulton),2.010,0.590
3,1:49,4,5,LAC 40,15,10,Kirk Cousins pass short right intended for Darnell Mooney is intercepted by Tarheeb Still at LAC-39 and returned for 61 yards touchdown,0.590,-7.000
3,1:39,,,ATL 2,17,10,Two Point Attempt: Justin Herbert pass complete to to Josh Palmer for no gain,1.000,1.000
3,1:39,,,LAC 35,17,10,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
3,1:39,1,10,ATL 30,17,10,Kirk Cousins pass incomplete deep left intended for Drake London (defended by Elijah Molden),0.940,0.390
3,1:33,2,10,ATL 30,17,10,Kirk Cousins pass complete short left to Ray-Ray McCloud for 60 yards (tackle by Tarheeb Still and Marcus Maye),0.390,4.910
3,0:51,1,10,LAC 10,17,10,Bijan Robinson left tackle for 2 yards (tackle by Khalil Mack),4.910,4.570
3,0:17,2,8,LAC 8,17,10,Kirk Cousins pass incomplete short middle intended for Drake London,4.570,3.580
3,0:11,3,8,LAC 8,17,10,Kirk Cousins pass incomplete short left intended for Kyle Pitts,3.580,2.950
3,0:07,4,8,LAC 8,17,13,Younghoe Koo 26 yard field goal good,2.950,3.000
3,0:03,,,ATL 35,17,13,Bradley Pinion kicks off 65 yards touchback.,0.000,0.940
3,0:03,1,10,LAC 30,17,13,Gus Edwards right end for 3 yards (tackle by Nathan Landman and Zach Harrison),0.940,0.800
4,15:00,2,7,LAC 33,17,13,Justin Herbert pass complete short right to Derius Davis for 3 yards (tackle by Grady Jarrett),0.800,0.500
4,14:17,3,4,LAC 36,17,13,Justin Herbert pass incomplete deep middle intended for Ladd McConkey,0.500,-0.980
4,14:09,4,4,LAC 36,17,13,JK Scott pass complete short right to Stone Smartt for 3 yards (tackle by Kevin King),-0.980,-2.980
4,14:04,1,10,LAC 39,17,13,Bijan Robinson right tackle for 4 yards (tackle by Poona Ford),2.980,2.980
4,13:32,2,6,LAC 35,17,13,Bijan Robinson right end for 2 yards (tackle by Teair Tart),2.980,2.540
4,12:50,3,4,LAC 33,17,13,Kirk Cousins pass complete short right to Drake London for 11 yards (tackle by Elijah Molden),2.540,4.110
4,12:09,1,10,LAC 22,17,13,Kirk Cousins pass complete short middle to Drake London for 8 yards (tackle by Tony Jefferson),4.110,4.850
4,11:34,2,2,LAC 14,17,13,Tyler Allgeier left tackle for 1 yard (tackle by Troy Dye and Derwin James),4.850,4.390
4,11:00,3,1,LAC 13,17,13,Tyler Allgeier left end for -1 yards (tackle by Derwin James),4.390,2.630
4,10:24,4,2,LAC 14,17,13,Kirk Cousins pass complete short left to Drake London for 5 yards (tackle by Kristian Fulton),2.630,5.140
4,9:51,1,9,LAC 9,17,13,Bijan Robinson left end for -4 yards (tackle by Daiyan Henley),5.140,3.720
4,9:13,2,13,LAC 13,17,13,Kirk Cousins pass incomplete short left intended for Kyle Pitts,3.720,3.060
4,9:11,3,13,LAC 13,17,13,Kirk Cousins pass deep middle intended for Drake London is intercepted by Marcus Maye in end zone and returned for no gain Replay Assistant challenged the pass interception ruling and the play was upheld.,3.060,-0.280
4,9:03,1,10,LAC 20,17,13,Gus Edwards right tackle for 12 yards (tackle by David Onyemata and Justin Simmons),0.280,1.070
4,8:16,1,10,LAC 32,17,13,Kimani Vidal right guard for 2 yards (tackle by Eddie Goldman and Kaden Elliss),1.070,0.800
4,7:24,2,8,LAC 34,17,13,Justin Herbert sacked by David Onyemata for -1 yards,0.800,-0.030
4,6:51,3,9,LAC 33,17,13,Justin Herbert pass complete short right to Quentin Johnston for 4 yards (tackle by Kevin King),-0.030,-0.910
4,6:17,4,5,LAC 37,17,13,JK Scott punts 52 yards returned by Avery Williams for no gain (tackle by Stone Smartt and Nick Niemann). Penalty on Natrone Brooks: Offensive Holding 5 yards (accepted),-0.910,0.380
4,6:05,1,10,ATL 6,17,13,Bijan Robinson left guard for 4 yards (tackle by Otito Ogbonnia and Poona Ford),-0.380,-0.490
4,5:28,2,6,ATL 10,17,13,Kirk Cousins pass complete short middle to Ray-Ray McCloud for 12 yards (tackle by Kristian Fulton),-0.490,0.410
4,4:49,1,10,ATL 22,17,13,Bijan Robinson right tackle for 9 yards (tackle by Bud Dupree),0.410,1.080
4,4:14,2,1,ATL 31,17,13,Tyler Allgeier right guard for 2 yards (tackle by Troy Dye and Daiyan Henley),1.080,1.140
4,3:37,1,10,ATL 33,17,13,Kirk Cousins pass complete short left to Drake London for 7 yards (tackle by Troy Dye),1.140,1.540
4,3:03,2,3,ATL 40,17,13,Tyler Allgeier left tackle for 2 yards (tackle by Troy Dye and Daiyan Henley),1.540,1.090
4,2:28,3,1,ATL 42,17,13,Ray-Ray McCloud left end for -2 yards (tackle by Elijah Molden and Daiyan Henley),1.090,-0.720
4,2:00,4,3,ATL 40,17,13,Kirk Cousins pass complete short left to Bijan Robinson for no gain (tackle by Daiyan Henley). Penalty on Ja'Sir Taylor: Defensive Holding 5 yards (accepted) (no play),-0.720,1.930
4,1:52,1,10,ATL 45,17,13,Kirk Cousins pass complete short left to Drake London for 11 yards (tackle by Kristian Fulton),1.930,2.650
4,1:31,1,10,LAC 44,17,13,Kirk Cousins pass complete short left to Darnell Mooney for 4 yards (tackle by Kristian Fulton),2.650,2.650
4,1:12,2,6,LAC 40,17,13,Kirk Cousins pass complete short right to Drake London for 7 yards (tackle by Tarheeb Still),2.650,3.380
4,1:06,1,10,LAC 33,17,13,Kirk Cousins sacked by Teair Tart for -11 yards. Kirk Cousins fumbles (forced by Teair Tart) recovered by Drew Dalman at LAC-44,3.380,1.350
4,0:59,,,,,,Timeout #1 by Atlanta Falcons,,
4,0:59,2,21,LAC 44,17,13,Kirk Cousins pass complete short left to Bijan Robinson for 9 yards (tackle by Elijah Molden),1.350,1.880
4,0:52,,,,,,Timeout #2 by Atlanta Falcons,,
4,0:52,3,12,LAC 35,17,13,Kirk Cousins pass incomplete deep right intended for Drake London (defended by Tarheeb Still),1.880,0.970
4,0:47,,,,,,Timeout #1 by Los Angeles Chargers,,
4,0:47,4,12,LAC 35,17,13,Kirk Cousins pass short middle intended for Drake London is intercepted by Derwin James at LAC-24 and returned for 2 yards,0.970,-0.670
4,0:40,1,10,LAC 26,17,13,Justin Herbert kneels for -1 yards,0.670,-0.010
4,0:39,,,,,,Timeout #3 by Atlanta Falcons,,
4,0:39,2,11,LAC 25,17,13,Justin Herbert kneels for -1 yards,-0.010,-0.820
