Quarter,Time,Down,ToGo,Location,LAR,NOR,Detail,EPB,EPA
2,9:10,1,10,NOR 25,0,3,Alvin Kamara right tackle for 4 yards (tackle by Omar Speights),0.610,0.540
2,8:30,2,7,NOR 29,0,3,Derek Carr scrambles right end for 3 yards (tackle by Michael Hoecht),0.540,0.230
2,7:55,3,4,NOR 32,0,3,Derek Carr pass complete short middle to Jamaal Williams for 7 yards (tackle by Jaylen McCollough),0.230,1.530
2,7:16,1,10,NOR 39,0,3,Taysom Hill left end for 3 yards (tackle by Byron Young and Desjuan Johnson),1.530,1.390
2,6:35,2,7,NOR 42,0,3,Derek Carr pass incomplete short middle intended for Taysom Hill (defended by Christian Rozeboom),1.390,0.700
2,6:29,3,7,NOR 42,0,3,Derek Carr pass incomplete short left intended for Alvin Kamara,0.700,-0.590
2,6:24,4,7,NOR 42,0,3,Matthew Hayball punts 46 yards fair catch by Xavier Smith at LA-12,-0.590,0.350
2,6:18,1,10,LAR 12,0,3,Kyren Williams up the middle for 11 yards (tackle by Pete Werner),-0.350,0.480
2,5:44,1,10,LAR 23,0,3,Kyren Williams right tackle for 17 yards (tackle by Kool-Aid McKinstry),0.480,1.600
2,4:58,1,10,LAR 40,0,3,Kyren Williams right end for 5 yards (tackle by Pete Werner),1.600,1.730
2,4:20,2,5,LAR 45,0,3,Kyren Williams right tackle for 4 yards (tackle by Will Harris),1.730,1.550
2,3:42,3,1,LAR 49,0,3,Kyren Williams right guard for 2 yards (tackle by Alontae Taylor and Payton Turner),1.550,2.320
2,3:04,1,10,NOR 49,0,3,Matthew Stafford sacked by Nathan Shepherd for -8 yards,2.320,0.700
2,2:20,2,18,LAR 43,0,3,Matthew Stafford pass complete short middle to Kyren Williams for 9 yards (tackle by Ugo Amadi),0.700,1.220
2,2:00,3,9,NOR 48,0,3,Matthew Stafford pass incomplete short right intended for Puka Nacua,1.220,0.070
2,1:57,4,9,NOR 48,0,3,Ethan Evans punts 35 yards fair catch by Dante Pettis at NO-13,0.070,0.320
2,1:50,1,10,NOR 13,0,3,Alvin Kamara right tackle for 11 yards (tackle by Kamren Kinchens),-0.320,0.540
2,1:31,1,10,NOR 24,0,3,Derek Carr pass complete short left to Juwan Johnson for 3 yards (tackle by Kamren Kinchens),0.540,0.400
2,1:11,2,7,NOR 27,0,3,Derek Carr pass complete short left to Marquez Valdes-Scantling for 8 yards (tackle by Cobie Durant),0.400,1.270
2,0:53,1,10,NOR 35,0,3,Derek Carr pass complete short right to Taysom Hill for 5 yards (tackle by Quentin Lake),1.270,1.400
2,0:48,2,5,NOR 40,0,3,Alvin Kamara right guard for 13 yards (tackle by Kamren Curl and Darious Williams),1.400,2.460
2,0:42,,,,,,Timeout #3 by New Orleans Saints,,
2,0:42,1,10,LAR 47,0,3,Derek Carr pass complete short right to Alvin Kamara for 8 yards (tackle by Christian Rozeboom),2.460,2.990
2,0:26,2,2,LAR 39,0,3,Derek Carr pass complete short right to Juwan Johnson for 3 yards (tackle by Kamren Kinchens),2.990,3.180
2,0:22,1,10,LAR 36,0,3,Derek Carr pass incomplete short right intended for Taysom Hill,3.180,2.640
2,0:18,2,10,LAR 36,0,3,Derek Carr pass incomplete deep right intended for Marquez Valdes-Scantling,2.640,1.950
2,0:13,,,,,,Timeout #1 by Los Angeles Rams,,
2,0:13,3,10,LAR 36,0,3,Derek Carr pass incomplete deep right,1.950,0.880
2,0:07,4,10,LAR 36,0,6,Blake Grupe 54 yard field goal good,0.880,3.000
2,0:02,,,NOR 35,0,6,Blake Grupe kicks off 68 yards returned by Jordan Whittington for 23 yards (tackle by Nephi Sewell),0.000,1.270
3,15:00,,,NOR 35,0,6,Blake Grupe kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,LAR 30,0,6,Kyren Williams left tackle for 4 yards (tackle by Ugo Amadi),0.940,0.930
3,14:22,2,6,LAR 34,0,6,Kyren Williams right guard for 1 yard (tackle by Pete Werner),0.930,0.370
3,13:46,3,5,LAR 35,0,6,Matthew Stafford pass complete short right to Puka Nacua for 18 yards (tackle by Pete Werner),0.370,2.460
3,12:58,1,10,NOR 47,0,6,Matthew Stafford pass complete short middle to Cooper Kupp for 7 yards (tackle by Pete Werner),2.460,2.860
3,12:21,2,3,NOR 40,0,6,Kyren Williams left tackle for 8 yards (tackle by Ugo Amadi),2.860,3.450
3,11:35,1,10,NOR 32,0,6,Kyren Williams left end for 10 yards (tackle by Ugo Amadi),3.450,4.110
3,10:54,1,10,NOR 22,0,6,Matthew Stafford pass incomplete short left intended for Puka Nacua (defended by Ugo Amadi),4.110,3.560
3,10:49,2,10,NOR 22,0,6,Kyren Williams right tackle for 4 yards (tackle by Pete Werner),3.560,3.400
3,10:10,3,6,NOR 18,0,6,Matthew Stafford pass complete short left to Puka Nacua for 8 yards,3.400,4.910
3,9:33,1,10,NOR 10,0,6,Kyren Williams up the middle for 6 yards (tackle by Carl Granderson),4.910,5.340
3,8:56,2,4,NOR 4,6,6,Kyren Williams left guard for 4 yards touchdown,5.340,7.000
3,8:50,,,NOR 15,7,6,Joshua Karty kicks extra point good,0.000,0.000
3,8:50,,,LAR 35,7,6,Ethan Evans kicks off 65 yards touchback.,0.000,0.940
3,8:50,1,10,NOR 30,7,6,Derek Carr pass complete short right to Juwan Johnson for 4 yards (tackle by Darious Williams),0.940,0.930
3,8:13,2,6,NOR 34,7,6,Alvin Kamara left tackle for -3 yards (tackle by Christian Rozeboom),0.930,-0.160
3,7:30,3,9,NOR 31,7,6,Derek Carr pass incomplete short right,-0.160,-1.310
3,7:24,4,9,NOR 31,7,6,Matthew Hayball punts 49 yards returned by Xavier Smith for no gain (tackle by J.T. Gray and Rico Payton),-1.310,-0.280
3,7:16,1,10,LAR 20,7,6,Matthew Stafford pass complete short right to Colby Parkinson for 13 yards (tackle by Ugo Amadi),0.280,1.140
3,6:41,1,10,LAR 33,7,6,Blake Corum left end for 2 yards (tackle by Demario Davis),1.140,0.860
3,6:02,2,8,LAR 35,7,6,Matthew Stafford pass complete short left to Puka Nacua for 19 yards (tackle by Pete Werner),0.860,2.520
3,5:22,1,10,NOR 46,7,6,Blake Corum left guard for 6 yards (tackle by Khalen Saunders),2.520,2.790
3,4:44,2,4,NOR 40,7,6,Tutu Atwell right end for no gain (tackle by Alontae Taylor),2.790,2.080
3,3:59,,,,,,Timeout #1 by Los Angeles Rams,,
3,3:59,3,4,NOR 40,7,6,Matthew Stafford sacked by Bryan Bresee for -9 yards,2.080,0.000
3,3:44,4,13,NOR 49,7,6,Ethan Evans punts 36 yards downed by Xavier Smith. Penalty on Xavier Smith: Kick Catch Interference 15 yards (accepted),0.000,-0.810
3,3:36,1,10,NOR 28,7,6,Alvin Kamara left tackle for 5 yards (tackle by Omar Speights),0.810,0.940
3,3:02,2,5,NOR 33,7,6,Derek Carr pass complete deep middle to Kevin Austin for 16 yards (tackle by Cobie Durant),0.940,2.190
3,2:27,1,10,NOR 49,7,6,Derek Carr pass incomplete short middle intended for Foster Moreau (defended by Kamren Curl) (defended by Omar Speights),2.190,1.650
3,2:23,2,10,NOR 49,7,6,Derek Carr pass incomplete short right intended for Alvin Kamara,1.650,0.960
3,2:18,3,10,NOR 49,7,6,Derek Carr pass incomplete deep left intended for Foster Moreau,0.960,-0.130
3,2:11,4,10,NOR 49,7,6,Matthew Hayball punts 33 yards out of bounds,-0.130,-0.040
3,2:03,1,10,LAR 18,7,6,Matthew Stafford pass complete deep right to Tutu Atwell for 19 yards (tackle by Alontae Taylor),0.040,1.400
3,1:19,1,10,LAR 37,7,6,Kyren Williams right tackle for 14 yards (tackle by Tyrann Mathieu),1.400,2.320
3,0:38,1,10,NOR 49,7,6,Matthew Stafford pass complete deep left to Demarcus Robinson for 46 yards (tackle by Will Harris),2.320,6.510
4,15:00,1,3,NOR 3,13,6,Matthew Stafford pass complete short right to Demarcus Robinson for 3 yards touchdown,6.510,7.000
4,14:57,,,NOR 15,14,6,Joshua Karty kicks extra point good,0.000,0.000
4,14:57,,,LAR 35,14,6,Ethan Evans kicks off 65 yards touchback.,0.000,0.940
4,14:57,1,10,NOR 30,14,6,Alvin Kamara up the middle for 7 yards (tackle by Christian Rozeboom),0.940,1.340
4,14:17,2,3,NOR 37,14,6,Alvin Kamara left end for 9 yards (tackle by Quentin Lake),1.340,1.990
4,14:04,1,10,NOR 46,14,6,Derek Carr pass complete deep right to Juwan Johnson for 21 yards (tackle by Quentin Lake),1.990,3.380
4,13:21,1,10,LAR 33,14,6,Kevin Austin left end for 9 yards (tackle by Kamren Curl),3.380,4.050
4,12:43,2,1,LAR 24,14,6,Alvin Kamara left end for -4 yards (tackle by Cobie Durant),4.050,2.810
4,11:58,3,5,LAR 28,14,12,Derek Carr pass complete deep right to Marquez Valdes-Scantling for 28 yards touchdown,2.810,7.000
4,11:53,,,LAR 2,14,14,Two Point Attempt: Derek Carr pass complete to to Dante Pettis for no gain,1.000,1.000
4,11:53,,,NOR 35,14,14,Blake Grupe kicks off 64 yards returned by Jordan Whittington for 43 yards (tackle by Shemar Jean-Charles),0.000,1.860
4,11:47,1,10,LAR 44,14,14,Matthew Stafford pass complete deep right to Tutu Atwell for 20 yards (tackle by Ugo Amadi),1.860,3.180
4,11:05,1,10,NOR 36,14,14,Blake Corum right guard for 2 yards (tackle by Carl Granderson),3.180,2.910
4,10:24,2,8,NOR 34,14,14,Puka Nacua right end for 7 yards (tackle by Ugo Amadi and Cameron Jordan),2.910,3.140
4,9:54,3,1,NOR 27,14,14,Matthew Stafford up the middle for 2 yards (tackle by Cameron Jordan),3.140,3.910
4,9:13,1,10,NOR 25,14,14,Matthew Stafford pass incomplete short left intended for Hunter Long,3.910,3.360
4,9:10,2,10,NOR 25,14,14,Matthew Stafford pass incomplete short middle intended for Cooper Kupp,3.360,2.680
4,9:06,,,,,,Timeout #1 by New Orleans Saints,,
4,9:06,3,10,NOR 25,14,14,Penalty on Chase Young: Neutral Zone Infraction 5 yards (accepted) (no play),2.680,3.340
4,9:06,3,5,NOR 20,14,14,Matthew Stafford pass incomplete deep right intended for Puka Nacua. Penalty on Alontae Taylor: Defensive Pass Interference 13 yards (accepted) (no play),3.340,5.600
4,9:02,1,7,NOR 7,14,14,Matthew Stafford pass incomplete short right intended for Tyler Johnson,5.600,4.760
4,8:57,2,7,NOR 7,20,14,Matthew Stafford pass complete short right to Puka Nacua for 7 yards touchdown,4.760,7.000
4,8:54,,,NOR 15,21,14,Joshua Karty kicks extra point good,0.000,0.000
4,8:54,,,LAR 35,21,14,Ethan Evans kicks off 65 yards touchback.,0.000,0.940
4,8:54,1,10,NOR 30,21,14,Alvin Kamara right tackle for 2 yards (tackle by Omar Speights and Jared Verse),0.940,0.660
4,8:16,2,8,NOR 32,21,14,Derek Carr pass complete short right to Taysom Hill for 4 yards (tackle by Kamren Kinchens),0.660,0.500
4,7:43,3,4,NOR 36,21,14,Derek Carr pass complete deep middle to Cedrick Wilson for 19 yards (tackle by Jaylen McCollough),0.500,2.590
4,6:58,1,10,LAR 45,21,14,Derek Carr pass complete short left to Dante Pettis for 5 yards (tackle by Cobie Durant),2.590,2.720
4,6:15,2,5,LAR 40,21,14,Alvin Kamara left end for 2 yards (tackle by Braden Fiske and Quentin Lake),2.720,2.280
4,5:31,3,3,LAR 38,21,14,Derek Carr pass complete short left to Taysom Hill for 2 yards (tackle by Omar Speights),2.280,0.890
4,4:49,4,1,LAR 36,21,14,Taysom Hill left tackle for 2 yards (tackle by Jared Verse and Cobie Durant),0.890,3.310
4,4:12,1,10,LAR 34,21,14,Derek Carr pass complete short middle to Alvin Kamara for 2 yards (tackle by Christian Rozeboom and Omar Speights),3.310,3.040
4,3:31,2,8,LAR 32,21,14,Alvin Kamara left tackle for 7 yards (tackle by Kamren Curl),3.040,3.270
4,2:49,3,1,LAR 25,21,14,Derek Carr scrambles right end for 9 yards (tackle by Christian Rozeboom),3.270,4.510
4,2:41,1,10,LAR 16,21,14,Alvin Kamara right tackle for 3 yards (tackle by Kobie Turner and Quentin Lake),4.510,4.390
4,2:00,2,7,LAR 13,21,14,Alvin Kamara left guard for 3 yards (tackle by Quentin Lake and Christian Rozeboom),4.390,4.170
4,1:23,3,4,LAR 10,21,14,Alvin Kamara up the middle for 1 yard (tackle by Bobby Brown),4.170,2.930
4,1:13,,,,,,Timeout #2 by Los Angeles Rams,,
4,1:13,4,3,LAR 9,21,14,Derek Carr pass incomplete short right intended for Juwan Johnson (defended by Jared Verse),2.930,0.380
4,1:09,1,10,LAR 9,21,14,Kyren Williams right end for 11 yards (tackle by Alontae Taylor),-0.380,0.280
4,0:59,,,,,,Timeout #2 by New Orleans Saints,,
4,0:59,1,10,LAR 20,21,14,Matthew Stafford kneels for -2 yards,0.280,-0.630
4,0:25,2,12,LAR 18,21,14,Matthew Stafford kneels for -1 yards,-0.630,-1.510
