Quarter,Time,Down,ToGo,Location,NYG,DAL,Detail,EPB,EPA
2,11:29,1,10,NYG 30,7,13,Drew Lock pass complete short middle to Malik Nabers for 18 yards (tackle by DaRon Bland and DeMarvion Overshown),0.940,2.130
2,10:56,1,10,NYG 48,7,13,Devin Singletary up the middle for 4 yards (tackle by Chauncey Golston and DeMarvion Overshown),2.130,2.120
2,10:19,2,6,DAL 48,7,13,Drew Lock pass complete short right to Wan'Dale Robinson for -2 yards (tackle by Jourdan Lewis). Penalty on Jon Runyan: Ineligible Downfield Pass 5 yards (declined),2.120,1.160
2,10:02,3,8,DAL 50,7,13,Drew Lock sacked by Donovan Wilson for -12 yards,1.160,-0.850
2,9:08,4,20,NYG 38,7,13,Jamie Gillan punts 46 yards returned by KaVontae Turpin for -3 yards. KaVontae Turpin fumbles (forced by Art Green) recovered by KaVontae Turpin at DAL-13,-0.850,0.320
2,8:59,1,10,DAL 13,7,13,Cooper Rush pass complete short right to CeeDee Lamb for 22 yards (tackle by Jason Pinnock),-0.320,1.270
2,8:25,1,10,DAL 35,7,13,Cooper Rush pass complete short middle to Jalen Tolbert for 5 yards (tackle by Bobby Okereke),1.270,1.400
2,7:53,2,5,DAL 40,7,13,Rico Dowdle left guard for 4 yards (tackle by Micah McFadden and Tyler Nubin),1.400,1.220
2,7:27,3,1,DAL 44,7,13,Cooper Rush pass incomplete short right intended for CeeDee Lamb,1.220,-0.460
2,7:21,4,1,DAL 44,7,13,Hunter Luepke right guard for no gain (tackle by D.J. Davidson),-0.460,-2.650
2,7:15,1,10,DAL 44,7,13,Tyrone Tracy right tackle for 2 yards (tackle by DeMarvion Overshown),2.650,2.380
2,6:38,2,8,DAL 42,7,13,Drew Lock pass incomplete short right intended for Tyrone Tracy,2.380,1.690
2,6:32,3,8,DAL 42,7,13,Drew Lock pass incomplete short middle intended for Malik Nabers (defended by Donovan Wilson),1.690,0.460
2,6:27,4,8,DAL 42,7,13,Penalty on NYG: Delay of Game 5 yards (accepted) (no play),0.460,0.130
2,6:27,4,13,DAL 47,7,13,Jamie Gillan punts touchback.. Penalty on Micah Parsons: Running Into the Kicker 5 yards (accepted) (no play),0.130,0.460
2,6:18,4,8,DAL 42,7,13,Jamie Gillan punts 41 yards downed by Art Green,0.460,0.380
2,6:07,1,10,DAL 1,7,13,Penalty on Terence Steele: False Start (accepted) (no play),-0.380,-0.380
2,6:07,1,10,DAL 1,7,13,Cooper Rush up the middle for 1 yard (tackle by Dexter Lawrence),-0.380,-0.710
2,5:35,2,9,DAL 2,7,13,Cooper Rush pass incomplete short left intended for Brandin Cooks,-0.710,-1.300
2,5:29,3,9,DAL 2,7,13,Cooper Rush pass incomplete deep left intended for Jonathan Mingo (defended by Cordale Flott),-1.300,-2.490
2,5:22,4,9,DAL 2,7,13,Bryan Anger punts 49 yards returned by Ihmir Smith-Marsette for 22 yards (tackle by Brevyn Spann-Ford),-2.490,-3.640
2,5:12,1,10,DAL 29,7,13,Devin Singletary left end for 4 yards (tackle by DeMarvion Overshown),3.640,3.640
2,4:33,2,6,DAL 25,7,13,Penalty on Daniel Bellinger: False Start 5 yards (accepted) (no play),3.640,2.970
2,4:14,2,11,DAL 30,7,13,Devin Singletary left end for 2 yards (tackle by DeMarvion Overshown and Donovan Wilson),2.970,2.540
2,3:30,3,9,DAL 28,7,13,Drew Lock pass incomplete short right intended for Malik Nabers,2.540,1.590
2,3:25,4,9,DAL 28,10,13,Graham Gano 46 yard field goal good,1.590,3.000
2,3:21,,,NYG 35,10,13,Graham Gano kicks off 65 yards touchback.,0.000,0.940
2,3:21,1,10,DAL 30,10,13,Cooper Rush pass complete short right to Brandin Cooks for 11 yards (tackle by Cordale Flott),0.940,1.660
2,2:44,1,10,DAL 41,10,13,Cooper Rush pass complete short left to Rico Dowdle for no gain (tackle by Micah McFadden). Penalty on Luke Schoonmaker: Offensive Pass Interference 10 yards (accepted) (no play),1.660,1.000
2,2:24,1,20,DAL 31,10,13,Cooper Rush pass incomplete short middle intended for CeeDee Lamb,1.000,-0.230
2,2:19,2,20,DAL 31,10,13,Cooper Rush pass incomplete deep right intended for Jonathan Mingo (defended by Adoree' Jackson). Penalty on Kayvon Thibodeaux: Defensive Offside 5 yards (accepted) (no play),-0.230,0.450
2,2:12,2,15,DAL 36,10,13,Cooper Rush pass incomplete deep right intended for Jonathan Mingo,0.450,-0.230
2,2:08,3,15,DAL 36,10,13,Hunter Luepke up the middle for 2 yards (tackle by Brian Burns),-0.230,-0.850
2,2:00,4,13,DAL 38,10,13,Bryan Anger punts 55 yards returned by Ihmir Smith-Marsette for 7 yards (tackle by Kemon Hall),-0.850,0.280
2,1:50,1,10,NYG 14,10,13,Drew Lock pass complete short left to Darius Slayton for 3 yards (tackle by Josh Butler),-0.280,-0.370
2,1:42,,,,,,Timeout #1 by Dallas Cowboys,,
2,1:42,2,7,NYG 17,10,13,Drew Lock pass incomplete short left intended for Darius Slayton,-0.370,-1.040
2,1:38,3,7,NYG 17,10,13,Penalty on Evan Neal: False Start 5 yards (accepted) (no play),-1.040,-1.650
2,1:38,3,12,NYG 12,10,13,Drew Lock pass incomplete deep right intended for Darius Slayton,-1.650,-2.490
2,1:35,4,12,NYG 12,10,13,Jamie Gillan punts 54 yards returned by KaVontae Turpin for no gain (tackle by Bryce Ford-Wheaton),-2.490,-1.200
2,1:29,1,10,DAL 34,10,13,Cooper Rush pass incomplete short right intended for Hunter Luepke. Penalty on Kayvon Thibodeaux: Roughing the Passer 15 yards (accepted) (no play),1.200,2.190
2,1:24,1,10,DAL 49,10,13,Cooper Rush pass incomplete short right intended for Jalen Tolbert (defended by Dane Belton),2.190,1.650
2,1:20,2,10,DAL 49,10,13,Cooper Rush pass incomplete short right intended for Jalen Tolbert (defended by Brian Burns),1.650,0.960
2,1:16,3,10,DAL 49,10,13,Cooper Rush pass incomplete deep right intended for Brandin Cooks (defended by Kayvon Thibodeaux),0.960,-0.130
2,1:12,4,10,DAL 49,10,13,Bryan Anger punts 40 yards fair catch by Ihmir Smith-Marsette at NYG-11,-0.130,0.370
2,1:05,1,10,NYG 11,10,13,Drew Lock pass complete short right to Tyrone Tracy for 15 yards (tackle by Eric Kendricks),-0.370,0.670
2,0:58,1,10,NYG 26,10,13,Drew Lock pass incomplete deep right intended for Darius Slayton (defended by Josh Butler),0.670,0.130
2,0:53,2,10,NYG 26,10,13,Drew Lock pass incomplete short right intended for Malik Nabers. Penalty on Josh Butler: Defensive Pass Interference 4 yards (accepted) (no play),0.130,0.940
2,0:48,1,10,NYG 30,10,13,Drew Lock pass incomplete short left intended for Malik Nabers Replay Assistant challenged the pass completion ruling and the original play was overturned. Drew Lock pass complete short left to Malik Nabers for 7 yards (tackle by DaRon Bland),0.940,1.340
2,0:45,,,,,,Timeout #1 by New York Giants,,
2,0:45,2,3,NYG 37,10,13,Drew Lock pass incomplete deep left intended for Darius Slayton,1.340,0.630
2,0:40,,,,,,Timeout #2 by Dallas Cowboys,,
2,0:40,3,3,NYG 37,10,13,Drew Lock pass complete short left to Malik Nabers for 3 yards (tackle by Eric Kendricks),0.630,1.600
2,0:32,,,,,,Timeout #2 by New York Giants,,
2,0:32,1,10,NYG 40,10,13,Drew Lock sacked by Carl Lawson for -11 yards,1.600,-0.430
3,15:00,,,DAL 35,10,13,Brandon Aubrey kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,NYG 30,10,13,Tyrone Tracy up the middle for 4 yards (tackle by Israel Mukuamu and Malik Hooker),0.940,0.930
3,14:24,2,6,NYG 34,10,13,Tyrone Tracy left tackle for 4 yards (tackle by Mazi Smith and Eric Kendricks),0.930,0.760
3,13:47,3,2,NYG 38,10,13,Drew Lock sacked by Eric Kendricks for no gain. Drew Lock fumbles (forced by Eric Kendricks) recovered by DeMarvion Overshown at NYG-38,0.760,-3.050
3,13:40,1,10,NYG 38,10,13,Rico Dowdle right guard for no gain (tackle by Bobby Okereke),3.050,2.510
3,13:06,2,10,NYG 38,10,13,Cooper Rush pass incomplete short left intended for Luke Schoonmaker (defended by Rakeem Nunez-Roches),2.510,1.820
3,13:01,3,10,NYG 38,10,13,Cooper Rush pass complete short left to KaVontae Turpin for 30 yards (tackle by Tyler Nubin),1.820,5.370
3,12:31,1,8,NYG 8,10,13,Hunter Luepke left tackle for 2 yards (tackle by Rakeem Nunez-Roches and Bobby Okereke),5.370,4.950
3,11:53,2,6,NYG 6,10,13,Cooper Rush scrambles right end for no gain. Cooper Rush fumbles (forced by Bobby Okereke) recovered by Micah McFadden in end zone Replay Assistant challenged the runner was down by contact ruling and the original play was overturned. Cooper Rush scrambles right end for 4 yards (tackle by Dexter Lawrence),4.950,4.950
3,11:44,3,2,NYG 2,10,19,Cooper Rush pass complete short left to Brandin Cooks for 2 yards touchdown,4.950,7.000
3,11:37,,,NYG 15,10,20,Brandon Aubrey kicks extra point good,0.000,0.000
3,11:37,,,DAL 35,10,20,Brandon Aubrey kicks off 65 yards touchback.,0.000,0.940
3,11:37,1,10,NYG 30,10,20,Tyrone Tracy left tackle for 2 yards (tackle by Chauncey Golston and Osa Odighizuwa),0.940,0.660
3,11:02,2,8,NYG 32,10,20,Drew Lock pass complete short right to Malik Nabers for 3 yards (tackle by DaRon Bland),0.660,0.370
3,10:19,3,5,NYG 35,10,20,Drew Lock sacked by Micah Parsons for -11 yards,0.370,-1.770
3,9:30,4,16,NYG 24,10,20,Jamie Gillan punts 46 yards fair catch by KaVontae Turpin at DAL-30,-1.770,-0.940
3,9:22,1,10,DAL 30,10,20,Rico Dowdle right tackle for 3 yards (tackle by Bobby Okereke),0.940,0.800
3,8:50,2,7,DAL 33,10,20,Cooper Rush pass complete short left to KaVontae Turpin for 1 yard (tackle by Cordale Flott),0.800,0.230
3,8:13,3,6,DAL 34,10,20,Cooper Rush pass incomplete short middle intended for Brandin Cooks (defended by Brian Burns). Penalty on Tyler Nubin: Defensive Pass Interference 10 yards (accepted) (no play),0.230,1.860
3,8:08,1,10,DAL 44,10,20,Cooper Rush pass complete short right to Rico Dowdle for 4 yards (tackle by Jason Pinnock),1.860,1.860
3,7:39,2,6,DAL 48,10,20,Rico Dowdle right tackle for 1 yard (tackle by Brian Burns),1.860,1.290
3,7:03,3,5,DAL 49,10,20,Cooper Rush pass complete deep left to Jalen Tolbert for 36 yards (tackle by Cordale Flott),1.290,4.580
3,6:33,1,10,NYG 15,10,20,Cooper Rush pass complete short right to Rico Dowdle for 1 yard (tackle by Adoree' Jackson and Bobby Okereke),4.580,4.110
3,5:52,2,9,NYG 14,10,20,Cooper Rush aborted snap recovered by Cooper Rush at NYG-18,4.110,3.040
3,5:16,3,11,NYG 16,10,20,Cooper Rush pass incomplete short right intended for Jonathan Mingo. Penalty on Adoree' Jackson: Defensive Pass Interference 8 yards (accepted) (no play),3.040,5.370
3,5:06,1,8,NYG 8,10,20,Rico Dowdle right guard for 4 yards (tackle by Elijah Chatman),5.370,5.340
3,4:27,2,4,NYG 4,10,26,Rico Dowdle right guard for 4 yards touchdown,5.340,7.000
3,4:23,,,NYG 15,10,27,Brandon Aubrey kicks extra point good,0.000,0.000
3,4:23,,,DAL 35,10,27,Brandon Aubrey kicks off 65 yards touchback.,0.000,0.940
3,4:23,1,10,NYG 30,10,27,Drew Lock pass complete short left to Theo Johnson for 15 yards (tackle by Donovan Wilson),0.940,1.930
3,3:49,1,10,NYG 45,10,27,Drew Lock pass complete short right to Jalin Hyatt for 1 yard (tackle by DeMarvion Overshown),1.930,1.520
3,3:06,2,9,NYG 46,10,27,Tyrone Tracy up the middle for 2 yards (tackle by Donovan Wilson and Jourdan Lewis). Penalty on Theo Johnson: Offensive Holding 10 yards (accepted),1.520,0.440
3,2:31,2,17,NYG 38,10,27,Drew Lock scrambles left guard for 21 yards (tackle by DaRon Bland),0.440,2.850
3,1:54,1,10,DAL 41,10,27,Tyrone Tracy right tackle for 4 yards (tackle by Eric Kendricks),2.850,2.850
3,1:13,2,6,DAL 37,10,27,Drew Lock pass complete short right to Jalin Hyatt for 7 yards (tackle by DaRon Bland),2.850,3.580
3,0:26,1,10,DAL 30,10,27,Drew Lock pass complete short right to Darius Slayton for 5 yards (tackle by DaRon Bland),3.580,3.710
4,15:00,2,5,DAL 25,10,27,Drew Lock sacked by and Micah Parsons for -7 yards and Mazi Smith for -7 yards,3.710,2.080
4,14:14,3,12,DAL 32,10,27,Penalty on NYG: Delay of Game 5 yards (accepted) (no play),2.080,1.420
4,14:14,3,17,DAL 37,10,27,Drew Lock pass complete short left to Wan'Dale Robinson for 8 yards (tackle by Israel Mukuamu),1.420,1.500
4,13:39,4,9,DAL 29,13,27,Graham Gano 47 yard field goal good,1.500,3.000
4,13:34,,,NYG 35,13,27,Graham Gano kicks off 65 yards touchback.,0.000,0.280
4,13:34,1,10,DAL 20,13,27,Rico Dowdle right guard for 6 yards (tackle by Tyler Nubin),0.280,0.540
4,12:59,2,4,DAL 26,13,27,Rico Dowdle left guard for 5 yards (tackle by Elijah Chatman and Tyler Nubin),0.540,1.000
4,12:16,1,10,DAL 31,13,27,Rico Dowdle right tackle for 2 yards (tackle by Tyler Nubin),1.000,0.730
4,11:39,2,8,DAL 33,13,27,Rico Dowdle left end for 18 yards (tackle by Jason Pinnock and Tyler Nubin),0.730,2.320
4,10:58,1,10,NYG 49,13,27,Cooper Rush pass complete short right to Jonathan Mingo for 2 yards (tackle by Adoree' Jackson),2.320,2.050
4,10:15,2,8,NYG 47,13,27,Cooper Rush pass incomplete deep left intended for Jonathan Mingo (defended by Micah McFadden),2.050,1.360
4,10:06,3,8,NYG 47,13,27,Cooper Rush pass incomplete deep right intended for Brandin Cooks (defended by Adoree' Jackson),1.360,0.130
4,10:00,4,8,NYG 47,13,27,Bryan Anger punts 47 yards touchback.,0.130,-0.280
4,9:51,1,10,NYG 20,13,27,Drew Lock pass complete deep left to Malik Nabers for no gain (tackle by Jourdan Lewis). Penalty on Chris Manhertz: Offensive Holding 10 yards (accepted) (no play),0.280,-0.760
4,9:28,1,20,NYG 10,13,27,Drew Lock pass complete short left to Theo Johnson for 5 yards (tackle by Eric Kendricks and Donovan Wilson),-0.760,-1.070
4,8:43,2,15,NYG 15,13,27,Drew Lock pass complete short left to Malik Nabers for 11 yards (tackle by DeMarvion Overshown),-1.070,-0.160
4,7:58,3,4,NYG 26,13,27,Drew Lock sacked by Osa Odighizuwa for -6 yards,-0.160,-2.030
4,7:14,4,10,NYG 20,13,27,Jamie Gillan punts 41 yards fair catch by KaVontae Turpin at DAL-39,-2.030,-1.530
4,6:59,1,10,DAL 39,13,27,Rico Dowdle up the middle for 17 yards (tackle by Adoree' Jackson),1.530,2.650
4,6:19,1,10,NYG 44,13,27,Rico Dowdle right guard for -1 yards (tackle by Bobby Okereke and Tomon Fox),2.650,1.980
4,5:41,2,11,NYG 45,13,27,Rico Dowdle left guard for 4 yards (tackle by Andru Phillips),1.980,1.820
4,5:30,,,,,,Timeout #1 by New York Giants,,
4,5:30,3,7,NYG 41,13,27,Rico Dowdle right end for -4 yards (tackle by Bobby Okereke),1.820,0.270
4,4:47,4,11,NYG 45,13,27,Bryan Anger punts 45 yards touchback.,0.270,-0.280
4,4:39,1,10,NYG 20,13,27,Drew Lock pass complete short right to Theo Johnson for 9 yards (tackle by Israel Mukuamu),0.280,0.950
4,4:09,2,1,NYG 29,13,27,Drew Lock pass incomplete short right intended for Malik Nabers (defended by Chauncey Golston),0.950,0.230
4,4:05,3,1,NYG 29,13,27,Drew Lock pass incomplete short right intended for Jalin Hyatt. Penalty on Jourdan Lewis: Defensive Pass Interference 14 yards (accepted) (no play),0.230,1.800
4,3:59,1,10,NYG 43,13,27,Drew Lock pass incomplete short right intended for Malik Nabers (defended by DaRon Bland),1.800,1.250
4,3:56,2,10,NYG 43,13,27,Drew Lock pass complete short middle to Theo Johnson for 12 yards (tackle by Eric Kendricks),1.250,2.590
4,3:25,1,10,DAL 45,13,27,Drew Lock pass complete short left to Tyrone Tracy for 18 yards (tackle by DeMarvion Overshown),2.590,3.780
4,2:48,1,10,DAL 27,13,27,Drew Lock pass complete short left to Tyrone Tracy for no gain (tackle by Jourdan Lewis). Penalty on Jon Runyan: Offensive Holding 10 yards (accepted) (no play),3.780,3.120
4,2:39,1,20,DAL 37,13,27,Drew Lock pass complete short right to Theo Johnson for 13 yards (tackle by Malik Hooker and Israel Mukuamu),3.120,3.640
4,2:29,2,7,DAL 24,13,27,Drew Lock pass complete short right to Malik Nabers for 16 yards,3.640,5.370
4,2:23,1,8,DAL 8,19,27,Drew Lock scrambles right end for 8 yards touchdown,5.370,7.000
4,2:18,,,DAL 15,20,27,Graham Gano kicks extra point good,0.000,0.000
4,2:18,,,NYG 35,20,27,Graham Gano kicks off 65 yards touchback.,0.000,0.940
4,2:18,1,10,DAL 30,20,27,Rico Dowdle left tackle for no gain (tackle by Elijah Chatman). Penalty on Elijah Chatman: Defensive Offside 5 yards (accepted) (no play),0.940,1.670
4,2:13,1,5,DAL 35,20,27,Penalty on NYG: Defensive Too Many Men on Field 5 yards (declined) (no play),1.670,1.670
4,2:13,1,5,DAL 35,20,27,Cooper Rush pass complete short right to Jalen Brooks for no gain (tackle by Adoree' Jackson),1.670,1.070
4,2:08,,,,,,Timeout #2 by New York Giants,,
4,2:08,2,5,DAL 35,20,27,Rico Dowdle right tackle for 3 yards (tackle by Kayvon Thibodeaux and Jordon Riley),1.070,0.760
4,2:00,3,2,DAL 38,20,27,Cooper Rush pass complete short right to Brandin Cooks for 3 yards (tackle by Tyler Nubin),0.760,1.660
4,1:18,1,10,DAL 41,20,27,Cooper Rush kneels for -2 yards,1.660,0.850
4,0:39,2,12,DAL 39,20,27,Cooper Rush kneels for -1 yards,0.850,0.040
