Quarter,Time,Down,ToGo,Location,LVR,KAN,Detail,EPB,EPA
2,12:35,2,4,KAN 4,0,3,Ameer Abdullah left guard for no gain (tackle by Michael Danna),5.340,4.490
2,11:51,3,4,KAN 4,0,3,Aidan O'Connell sacked by Chris Jones for -5 yards,4.490,2.830
2,11:06,4,9,KAN 9,3,3,Daniel Carlson 27 yard field goal good,2.830,3.000
2,11:03,,,LVR 35,3,3,Daniel Carlson kicks off 65 yards returned by Mecole Hardman for 24 yards (tackle by DJ Turner),0.000,0.540
2,10:56,1,10,KAN 24,3,3,Isiah Pacheco right tackle for -5 yards (tackle by Maxx Crosby),0.540,-0.740
2,10:19,2,15,KAN 19,3,3,Patrick Mahomes pass complete short right to Isiah Pacheco for 5 yards (tackle by Amari Burney),-0.740,-0.690
2,9:48,3,10,KAN 24,3,3,Patrick Mahomes sacked by K'Lavon Chaisson for -6 yards,-0.690,-2.240
2,9:07,4,16,KAN 18,3,3,Matt Araiza punts 46 yards returned by DJ Turner for 9 yards (tackle by Matt Araiza),-2.240,-1.930
2,8:55,1,10,LVR 45,3,3,Aidan O'Connell pass incomplete short right intended for Brock Bowers,1.930,1.380
2,8:51,2,10,LVR 45,3,3,Aidan O'Connell pass complete short right to Brock Bowers for 9 yards (tackle by Nick Bolton),1.380,1.880
2,8:10,3,1,KAN 46,3,3,Brock Bowers left end for 2 yards (tackle by Joshua Williams),1.880,2.650
2,7:32,1,10,KAN 44,3,3,Sincere McCormick left end for 7 yards (tackle by Joshua Williams and Mike Pennel),2.650,3.060
2,6:46,2,3,KAN 37,3,3,Aidan O'Connell pass incomplete short middle. Penalty on Dylan Parham: Ineligible Downfield Pass 5 yards (accepted) (no play),3.060,2.380
2,6:46,2,8,KAN 42,3,3,Sincere McCormick up the middle for 4 yards (tackle by Nick Bolton),2.380,2.210
2,6:05,3,4,KAN 38,3,3,Aidan O'Connell pass incomplete short middle intended for Jakobi Meyers,2.210,0.720
2,6:00,4,4,KAN 38,3,3,Daniel Carlson 56 yard field goal no good,0.720,-2.060
2,5:55,1,10,KAN 47,3,3,Patrick Mahomes pass complete short middle to Noah Gray for 26 yards (tackle by Robert Spillane),2.060,3.780
2,5:06,1,10,LVR 27,3,3,Patrick Mahomes sacked by Zachary Carter for no gain,3.780,3.230
2,4:15,2,10,LVR 27,3,3,Patrick Mahomes pass incomplete short left intended for Kareem Hunt (defended by Jonah Laulu),3.230,2.540
2,4:12,3,10,LVR 27,3,3,Patrick Mahomes pass complete short right to Travis Kelce for 5 yards lateral to Samaje Perine for 10 yards (tackle by Decamerion Richardson),2.540,4.780
2,3:39,1,10,LVR 12,3,3,Kareem Hunt up the middle for 4 yards (tackle by Robert Spillane and Isaiah Pola-Mao),4.780,4.830
2,2:58,2,6,LVR 8,3,3,Patrick Mahomes pass complete short left to Travis Kelce for 2 yards (tackle by Decamerion Richardson),4.830,4.380
2,2:19,,,,,,Timeout #1 by Las Vegas Raiders,,
2,2:19,3,4,LVR 6,3,9,Patrick Mahomes pass complete short left to Justin Watson for 6 yards touchdown,4.380,7.000
2,2:14,,,LVR 15,3,10,Matthew Wright kicks extra point good,0.000,0.000
2,2:14,,,KAN 35,3,10,Matthew Wright kicks off 66 yards recovered by Dylan Laube at LV-4 (tackle by Nazeeh Johnson and Carson Steele),0.000,0.040
2,2:10,1,10,LVR 18,3,10,Sincere McCormick right end for 17 yards (tackle by Bryan Cook),0.040,1.270
2,2:00,1,10,LVR 35,3,10,Tre Tucker right end for 11 yards (tackle by George Karlaftis and Justin Reid),1.270,1.990
2,1:20,1,10,LVR 46,3,10,Aidan O'Connell pass incomplete short left intended for Jakobi Meyers,1.990,1.450
2,1:16,2,10,LVR 46,3,10,Sincere McCormick right end for 1 yard (tackle by Justin Reid),1.450,0.890
2,1:11,,,,,,Timeout #1 by Kansas City Chiefs,,
2,1:11,3,9,LVR 47,3,10,Aidan O'Connell sacked by Chris Jones for -2 yards,0.890,-0.390
2,1:06,,,,,,Timeout #2 by Kansas City Chiefs,,
