Quarter,Time,Down,ToGo,Location,MIA,GNB,Detail,EPB,EPA
2,8:38,1,10,GNB 30,3,14,Jayden Reed right end for 23 yards (tackle by Storm Duck),0.940,2.460
2,8:11,1,10,MIA 47,3,14,Jordan Love pass complete short right to Josh Jacobs for 3 yards (tackle by Quinton Bell),2.460,2.320
2,7:33,2,7,MIA 44,3,14,Josh Jacobs up the middle for no gain (tackle by Jordyn Brooks and Zach Sieler),2.320,1.620
2,6:50,3,7,MIA 44,3,14,Jordan Love pass incomplete short middle intended for Jayden Reed (defended by Siran Neal),1.620,0.330
2,6:43,4,7,MIA 44,3,14,Penalty on GNB: Delay of Game 5 yards (declined) (no play),0.330,0.330
2,6:43,4,7,MIA 44,3,14,Daniel Whelan punts 38 yards returned by Malik Washington for 5 yards (tackle by Eric Wilson). Penalty on Siran Neal: Offensive Holding 5 yards (accepted),0.330,0.380
2,6:33,1,10,MIA 6,3,14,De'Von Achane left guard for no gain (tackle by Arron Mosby). Penalty on Kingsley Enagbare: Defensive Offside 5 yards (accepted) (no play),-0.380,-0.160
2,6:13,1,5,MIA 11,3,14,Tua Tagovailoa pass complete short right to Raheem Mostert for 14 yards (tackle by Xavier McKinney),-0.160,0.610
2,5:41,1,10,MIA 25,3,14,De'Von Achane up the middle for no gain (tackle by Quay Walker). Penalty on Robert Jones: Offensive Holding 10 yards (accepted) (no play),0.610,-0.410
2,5:08,1,20,MIA 15,3,14,Tua Tagovailoa pass complete short middle to Jonnu Smith for 14 yards (tackle by Xavier McKinney),-0.410,0.600
2,4:25,2,6,MIA 29,3,14,Tua Tagovailoa sacked by Lukas Van Ness for -2 yards,0.600,-0.360
2,3:41,3,8,MIA 27,3,14,Tua Tagovailoa sacked by Kingsley Enagbare for -9 yards,-0.360,-2.240
2,3:11,4,17,MIA 18,3,14,Jake Bailey punts 44 yards fair catch by Jayden Reed at GB-38,-2.240,-1.470
2,3:03,1,10,GNB 38,3,14,Jordan Love pass complete short middle to Dontayvion Wicks for 8 yards (tackle by Jordyn Brooks and Cam Smith),1.470,2.000
2,2:25,2,2,GNB 46,3,14,Chris Brooks right tackle for 18 yards (tackle by Jevon Holland),2.000,3.180
2,2:00,1,10,MIA 36,3,14,Penalty on Rasheed Walker: False Start 5 yards (accepted) (no play),3.180,2.850
2,2:00,1,15,MIA 41,3,14,Jordan Love pass complete deep left to Christian Watson for 21 yards (tackle by Cam Smith). Penalty on Cam Smith: Defensive Pass Interference 15 yards (declined),2.850,4.240
2,1:53,1,10,MIA 20,3,14,Josh Jacobs right tackle for 3 yards (tackle by Tyrel Dodson),4.240,4.120
2,1:48,,,,,,Timeout #1 by Miami Dolphins,,
2,1:48,2,7,MIA 17,3,14,Jordan Love pass complete short right to Chris Brooks for 5 yards (tackle by Tyrel Dodson and Jalen Ramsey),4.120,4.340
2,1:42,,,,,,Timeout #2 by Miami Dolphins,,
2,1:42,3,2,MIA 12,3,20,Jordan Love pass complete short left to Jayden Reed for 12 yards touchdown,4.340,7.000
2,1:36,,,MIA 15,3,21,Brandon McManus kicks extra point good,0.000,0.000
2,1:36,,,GNB 35,3,21,Brandon McManus kicks off 65 yards returned by Malik Washington for 30 yards (tackle by Zayne Anderson),0.000,0.940
2,1:32,1,10,MIA 30,3,21,Tua Tagovailoa pass incomplete deep middle intended for Tyreek Hill,0.940,0.390
2,1:27,2,10,MIA 30,3,21,Tua Tagovailoa scrambles right end for 9 yards (tackle by Keisean Nixon),0.390,0.890
2,1:20,3,1,MIA 39,3,21,Tua Tagovailoa pass complete short middle to Jonnu Smith for 7 yards (tackle by Quay Walker),0.890,1.990
2,1:03,1,10,MIA 46,3,21,Tua Tagovailoa pass complete short middle to Jonnu Smith for 11 yards (tackle by Quay Walker and Xavier McKinney),1.990,2.720
2,0:45,1,10,GNB 43,3,21,Tua Tagovailoa pass incomplete deep middle intended for Tyreek Hill,2.720,2.180
2,0:39,2,10,GNB 43,3,21,Tua Tagovailoa pass complete short middle to De'Von Achane for 5 yards (tackle by Kingsley Enagbare),2.180,2.150
2,0:31,,,,,,Timeout #3 by Miami Dolphins,,
2,0:31,3,5,GNB 38,3,21,Tua Tagovailoa pass incomplete short middle intended for Malik Washington (defended by Isaiah McDuffie),2.150,0.720
2,0:27,4,5,GNB 38,3,21,Tua Tagovailoa pass incomplete short left intended for De'Von Achane,0.720,-1.530
2,0:22,1,10,GNB 39,3,21,Jordan Love pass complete short right to Tucker Kraft for 17 yards (tackle by Jordyn Brooks),1.530,2.650
2,0:15,,,,,,Timeout #1 by Green Bay Packers,,
2,0:15,1,10,MIA 44,3,21,Jordan Love pass complete short middle to Tucker Kraft for 9 yards (tackle by Tyrel Dodson),2.650,3.330
2,0:08,,,,,,Timeout #2 by Green Bay Packers,,
2,0:08,2,1,MIA 35,3,21,Chris Brooks up the middle for 8 yards (tackle by Tyrel Dodson and Jordan Poyer),3.330,3.780
2,0:03,,,,,,Timeout #3 by Green Bay Packers,,
2,0:03,1,10,MIA 27,3,24,Brandon McManus 46 yard field goal good,3.780,3.000
3,15:00,,,GNB 35,3,24,Brandon McManus kicks off 61 yards returned by Malik Washington for 19 yards (tackle by Arron Mosby),0.000,0.480
3,14:56,1,10,MIA 23,3,24,Tua Tagovailoa pass complete short middle to Tyreek Hill for 2 yards (tackle by Isaiah McDuffie),0.480,0.200
3,14:16,2,8,MIA 25,3,24,Tua Tagovailoa pass complete short middle to Julian Hill for 5 yards (tackle by Quay Walker and Isaiah McDuffie),0.200,0.170
3,13:25,3,3,MIA 30,3,24,Penalty on MIA: Delay of Game 5 yards (accepted) (no play),0.170,-0.490
3,13:03,3,8,MIA 25,3,24,Tua Tagovailoa pass incomplete deep middle intended for Odell Beckham,-0.490,-1.700
3,13:00,4,8,MIA 25,3,24,Jake Bailey punts 53 yards fair catch by Jayden Reed at GB-22,-1.700,-0.410
3,12:52,1,10,GNB 22,3,24,Josh Jacobs up the middle for 3 yards (tackle by Emmanuel Ogbah and Da'Shawn Hand),0.410,0.270
3,12:17,2,7,GNB 25,3,24,Josh Jacobs up the middle for 1 yard (tackle by Calais Campbell and Jevon Holland),0.270,-0.290
3,11:37,3,6,GNB 26,3,24,Jordan Love pass complete deep right to Christian Watson for 46 yards (tackle by Storm Duck),-0.290,3.710
3,10:49,1,10,MIA 28,3,24,Jordan Love pass complete short left to Josh Jacobs for 15 yards (tackle by Emmanuel Ogbah and Jordan Poyer),3.710,4.710
3,10:04,1,10,MIA 13,3,24,Chris Brooks left tackle for 2 yards (tackle by Jordyn Brooks and Jordan Poyer),4.710,4.390
3,9:24,2,8,MIA 11,3,24,Jordan Love pass complete short left to Chris Brooks for -4 yards (tackle by Jordyn Brooks),4.390,3.030
3,8:39,3,12,MIA 15,3,24,Jordan Love pass complete short right to Jayden Reed for 9 yards (tackle by Jevon Holland),3.030,3.010
3,7:46,4,3,MIA 6,3,27,Brandon McManus 24 yard field goal good,3.010,3.000
3,7:42,,,GNB 35,3,27,Brandon McManus kicks off 63 yards returned by Malik Washington for 28 yards (tackle by Javon Bullard),0.000,0.940
3,7:35,1,10,MIA 30,3,27,Raheem Mostert left end for 12 yards (tackle by Xavier McKinney). Penalty on Tyreek Hill: Offensive Holding 10 yards (accepted),0.940,1.230
