Quarter,Time,Down,ToGo,Location,SFO,BUF,Detail,EPB,EPA
2,7:15,2,6,BUF 45,3,14,Brock Purdy pass complete short left to Deebo Samuel for 2 yards (tackle by DaQuan Jones and Ed Oliver),2.320,1.880
2,6:34,3,4,BUF 43,3,14,Jordan Mason up the middle for 6 yards (tackle by Matt Milano),1.880,3.120
2,5:54,1,10,BUF 37,3,14,Isaac Guerendo left tackle for no gain (tackle by A.J. Epenesa and Terrel Bernard),3.120,2.570
2,5:11,2,10,BUF 37,3,14,Brock Purdy scrambles left guard for 1 yard (tackle by Von Miller),2.570,2.010
2,4:28,3,9,BUF 36,3,14,Brock Purdy sacked by Gregory Rousseau for -5 yards,2.010,0.530
2,3:42,4,14,BUF 41,3,14,Pat O'Donnell punts 38 yards downed by George Odum,0.530,0.380
2,3:31,1,10,BUF 3,3,14,James Cook right guard for 2 yards (tackle by Evan Anderson and Charvarius Ward),-0.380,-0.630
2,2:49,2,8,BUF 5,3,14,Josh Allen pass complete deep right to Dawson Knox for 39 yards (tackle by Jalen Graham and Ji'Ayir Brown),-0.630,1.860
2,2:00,1,10,BUF 44,3,14,James Cook right tackle for 18 yards (tackle by Malik Mustapha),1.860,3.050
2,1:53,1,10,SFO 38,3,14,James Cook left guard for 10 yards (tackle by Renardo Green and Ji'Ayir Brown),3.050,3.710
2,1:12,1,10,SFO 28,3,14,Josh Allen pass complete short left to Amari Cooper for 7 yards (tackle by Renardo Green),3.710,4.110
2,1:07,,,,,,Timeout #1 by Buffalo Bills,,
2,1:07,2,3,SFO 21,3,14,Josh Allen pass complete short right to James Cook for 13 yards (tackle by Nick McCloud),4.110,5.370
2,1:01,1,8,SFO 8,3,14,James Cook up the middle for 1 yard (tackle by Evan Anderson and Charvarius Ward),5.370,4.760
2,0:53,,,,,,Timeout #1 by San Francisco 49ers,,
2,0:53,2,7,SFO 7,3,14,Josh Allen pass incomplete short right intended for Zach Davidson,4.760,3.810
2,0:47,3,7,SFO 7,3,20,Josh Allen pass complete short right to Mack Hollins for 7 yards touchdown,3.810,7.000
2,0:41,,,SFO 15,3,21,Tyler Bass kicks extra point good,0.000,0.000
2,0:41,,,BUF 35,3,21,Tyler Bass kicks off 65 yards returned by Deebo Samuel for 29 yards (tackle by Ja'Marcus Ingram and Nicholas Morrow),0.000,0.870
2,0:35,1,10,SFO 29,3,21,Jordan Mason left guard for 11 yards (tackle by Taron Johnson),0.870,1.600
2,0:28,,,,,,Timeout #2 by San Francisco 49ers,,
2,0:28,1,10,SFO 40,3,21,Brock Purdy pass complete short left to Deebo Samuel for 7 yards (tackle by Terrel Bernard),1.600,2.000
2,0:11,2,3,SFO 47,3,21,Brock Purdy spiked the ball,2.000,1.290
2,0:10,,,,,,Timeout #2 by Buffalo Bills,,
2,0:10,3,3,SFO 47,3,21,Brock Purdy pass complete deep left to Jauan Jennings for 16 yards (tackle by Rasul Douglas),1.290,3.120
2,0:04,1,10,BUF 37,3,21,Jake Moody 55 yard field goal no good,3.120,1.860
3,15:00,,,BUF 35,3,21,Tyler Bass kicks off 62 yards returned by Deebo Samuel for 60 yards (tackle by Joe Andreessen),0.000,3.120
3,14:50,1,10,BUF 37,3,21,Jordan Mason right tackle for 2 yards (tackle by Gregory Rousseau),3.120,2.840
3,14:11,2,8,BUF 35,3,21,Brock Purdy pass complete short middle to Jauan Jennings for 14 yards (tackle by Rasul Douglas),2.840,4.170
