Quarter,Time,Down,ToGo,Location,ARI,MIN,Detail,EPB,EPA
2,9:32,2,4,MIN 46,3,3,Kyler Murray pass complete short middle to Michael Wilson for 13 yards (tackle by Camryn Bynum),2.390,3.380
2,8:51,1,10,MIN 33,3,3,Kyler Murray pass complete deep right to Elijah Higgins for 19 yards. Penalty on Bo Richter: Defensive Holding 5 yards (declined),3.380,4.650
2,8:29,1,10,MIN 14,3,3,James Conner left end for no gain (tackle by Josh Metellus). Penalty on Isaiah Adams: Offensive Holding 10 yards (accepted) (no play),4.650,3.970
2,8:12,1,20,MIN 24,3,3,James Conner right tackle for 2 yards (tackle by Harrison Phillips and Andrew Van Ginkel),3.970,3.010
2,7:34,2,18,MIN 22,3,3,Kyler Murray pass complete short middle to Trey McBride for 6 yards (tackle by Blake Cashman),3.010,3.000
2,6:50,3,12,MIN 16,3,3,Kyler Murray pass complete short left to Emari Demercado for 3 yards (tackle by Blake Cashman),3.000,2.570
2,6:05,4,9,MIN 13,6,3,Chad Ryland 31 yard field goal good,2.570,3.000
2,6:01,,,ARI 35,6,3,Chad Ryland kicks off 65 yards touchback.,0.000,0.940
2,6:01,1,10,MIN 30,6,3,Sam Darnold pass complete short left to Justin Jefferson for 9 yards (tackle by Max Melton),0.940,1.610
2,5:26,2,1,MIN 39,6,3,Ty Chandler left guard for no gain (tackle by Budda Baker and Kyzir White),1.610,0.890
2,4:47,3,1,MIN 39,6,3,Ty Chandler right guard for 2 yards (tackle by Budda Baker and Jesse Luketa),0.890,1.660
2,4:11,1,10,MIN 41,6,3,Sam Darnold scrambles right guard for 3 yards (tackle by Kyzir White),1.660,1.530
2,3:43,2,7,MIN 44,6,3,Sam Darnold pass complete short middle to Justin Jefferson for 23 yards (tackle by Jalen Thompson and Starling Thomas),1.530,3.380
2,2:59,1,10,ARI 33,6,3,Sam Darnold pass complete short right to Aaron Jones for -4 yards (tackle by Roy Lopez),3.380,2.300
2,2:15,2,14,ARI 37,6,3,Sam Darnold pass complete short middle to Brandon Powell for 8 yards (tackle by Zaven Collins),2.300,2.680
2,2:00,3,6,ARI 29,6,3,Sam Darnold sacked by Mack Wilson for -8 yards,2.680,0.790
2,1:16,4,14,ARI 37,6,6,John Parker Romo 55 yard field goal good,0.790,3.000
2,1:12,,,MIN 35,6,6,John Parker Romo kicks off 65 yards touchback.,0.000,0.940
2,1:12,1,10,ARI 30,6,6,Kyler Murray pass complete short right to Trey McBride for 6 yards (tackle by Stephon Gilmore),0.940,1.200
2,1:07,2,4,ARI 36,6,6,Kyler Murray pass incomplete short right intended for Marvin Harrison (defended by Stephon Gilmore),1.200,0.500
2,1:03,3,4,ARI 36,6,6,Kyler Murray pass complete short middle to Marvin Harrison for 14 yards (tackle by Shaquill Griffin),0.500,2.260
2,0:56,,,,,,Timeout #1 by Arizona Cardinals,,
2,0:56,1,10,ARI 50,6,6,Kyler Murray pass incomplete short left intended for Emari Demercado,2.260,1.710
2,0:51,2,10,ARI 50,6,6,Kyler Murray scrambles left end for 11 yards (tackle by Byron Murphy),1.710,2.980
2,0:41,1,10,MIN 39,6,6,Kyler Murray pass complete short left to Michael Wilson for 5 yards (tackle by Byron Murphy),2.980,3.120
2,0:31,,,,,,Timeout #2 by Arizona Cardinals,,
