Quarter,Time,Down,ToGo,Location,PHI,BAL,Detail,EPB,EPA
2,12:16,1,10,BAL 1,0,9,Lamar Jackson pass complete short middle to Mark Andrews for 5 yards (tackle by Reed Blankenship and Nakobe Dean),-0.380,-0.420
2,11:45,2,5,BAL 6,0,9,Derrick Henry left guard for no gain (tackle by Nakobe Dean),-0.420,-0.840
2,11:09,3,5,BAL 6,0,9,Lamar Jackson pass incomplete short right intended for Zay Flowers,-0.840,-2.490
2,11:05,4,5,BAL 6,0,9,Jordan Stout punts 48 yards returned by Britain Covey for 5 yards (tackle by Trenton Simpson),-2.490,-2.320
2,10:55,1,10,BAL 49,0,9,Saquon Barkley right tackle for -1 yards (tackle by Tavius Robinson),2.320,1.650
2,10:21,2,11,BAL 50,0,9,Jalen Hurts pass complete short left to Jahan Dotson for 7 yards (tackle by Kyle Hamilton),1.650,1.880
2,9:40,3,4,BAL 43,0,9,Saquon Barkley up the middle for 9 yards (tackle by Brandon Stephens),1.880,3.310
2,9:08,1,10,BAL 34,0,9,Jalen Hurts right tackle for 8 yards (tackle by Travis Jones),3.310,3.850
2,8:35,2,2,BAL 26,0,9,Jalen Hurts pass complete short left to A.J. Brown for 9 yards (tackle by Brandon Stephens),3.850,4.440
2,8:09,1,10,BAL 17,6,9,Jalen Hurts pass complete short left to Dallas Goedert for 17 yards touchdown,4.440,7.000
2,8:04,,,BAL 15,7,9,Jake Elliott kicks extra point good,0.000,0.000
2,8:04,,,PHI 35,7,9,Braden Mann kicks off 64 yards returned by Rasheen Ali for 24 yards (tackle by Ochaun Mathis),0.000,0.610
2,7:59,1,10,BAL 25,7,9,Derrick Henry left tackle for 1 yard (tackle by Jordan Davis and Josh Sweat),0.610,0.200
2,7:22,2,9,BAL 26,7,9,Lamar Jackson pass complete short right to Isaiah Likely for 7 yards (tackle by Cooper DeJean),0.200,0.430
2,6:45,3,2,BAL 33,7,9,Derrick Henry left end for -4 yards (tackle by Zack Baun),0.430,-1.440
2,6:11,4,6,BAL 29,7,9,Jordan Stout punts 43 yards returned by Britain Covey for 4 yards (tackle by Trenton Simpson),-1.440,-1.070
2,6:02,1,10,PHI 32,7,9,Jalen Hurts pass complete short middle to A.J. Brown for 15 yards (tackle by Chris Board),1.070,2.060
2,5:36,1,10,PHI 47,7,9,Saquon Barkley left end for 5 yards (tackle by Malik Harrison and Chris Board),2.060,2.190
2,5:04,2,5,BAL 48,7,9,Jalen Hurts pass complete short right to A.J. Brown for 15 yards (tackle by Roquan Smith and Marlon Humphrey),2.190,3.380
2,4:20,1,10,BAL 33,7,9,Jalen Hurts pass incomplete short right. Penalty on Mekhi Becton: Ineligible Downfield Pass 5 yards (accepted) (no play),3.380,3.050
2,4:14,1,15,BAL 38,7,9,Jalen Hurts pass complete short middle to A.J. Brown for 14 yards (tackle by Ar'Darius Washington),3.050,4.050
2,3:49,2,1,BAL 24,7,9,Jalen Hurts pass complete short right to Dallas Goedert for 9 yards (tackle by Ar'Darius Washington),4.050,4.580
2,3:22,1,10,BAL 15,7,9,Saquon Barkley left end for 5 yards (tackle by Roquan Smith),4.580,4.840
2,2:51,2,5,BAL 10,7,9,Jalen Hurts pass incomplete short left intended for Dallas Goedert,4.840,4.000
2,2:46,3,5,BAL 10,7,9,Jalen Hurts up the middle for 9 yards (tackle by Ar'Darius Washington),4.000,6.970
2,2:03,1,1,BAL 1,13,9,Jalen Hurts aborted snap recovered by Jalen Hurts at BAL-1 touchdown,6.970,7.000
2,2:00,,,BAL 15,14,9,Jake Elliott kicks extra point good,0.000,0.000
2,2:00,,,PHI 35,14,9,Braden Mann kicks off 62 yards returned by Rasheen Ali for 38 yards (tackle by Kenneth Gainwell),0.000,1.660
2,1:55,1,10,BAL 41,14,9,Lamar Jackson pass complete short middle to Tylan Wallace for 12 yards (tackle by Cooper DeJean),1.660,2.460
2,1:13,1,10,PHI 47,14,9,Lamar Jackson sacked by Nolan Smith for -4 yards,2.460,1.370
2,1:07,,,,,,Timeout #1 by Baltimore Ravens,,
2,1:07,2,14,BAL 49,14,9,Lamar Jackson pass complete short left to Isaiah Likely for 7 yards (tackle by Nakobe Dean and Zack Baun),1.370,1.620
2,0:48,3,7,PHI 44,14,9,Lamar Jackson scrambles left end for 11 yards (tackle by Nakobe Dean),1.620,3.380
2,0:38,,,,,,Timeout #2 by Baltimore Ravens,,
2,0:38,1,10,PHI 33,14,9,Lamar Jackson pass complete short right to Zay Flowers for 14 yards (tackle by Zack Baun),3.380,4.310
2,0:31,,,,,,Timeout #3 by Baltimore Ravens,,
2,0:31,1,10,PHI 19,14,9,Lamar Jackson pass incomplete short left Replay Assistant challenged the runner was down by contact ruling and the original play was overturned. Lamar Jackson sacked by Jalen Carter for -13 yards,4.310,2.010
2,0:15,2,23,PHI 32,14,9,Lamar Jackson pass incomplete short right,2.010,1.360
2,0:08,3,23,PHI 32,14,12,Justin Tucker 50 yard field goal good,1.360,3.000
2,0:03,,,BAL 35,14,12,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
2,0:03,1,10,PHI 30,14,12,Jalen Hurts kneels for -1 yards,0.940,0.260
3,15:00,,,PHI 35,14,12,Braden Mann kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,BAL 30,14,12,Lamar Jackson scrambles left end for 12 yards (tackle by Zack Baun),0.940,1.730
3,14:27,1,10,BAL 42,14,12,Derrick Henry right guard for 8 yards (tackle by Josh Sweat),1.730,2.270
3,13:52,2,2,BAL 50,14,12,Derrick Henry left guard for 5 yards (tackle by Zack Baun),2.270,2.590
3,13:14,1,10,PHI 45,14,12,Lamar Jackson pass incomplete short left intended for Justice Hill,2.590,2.040
3,13:07,2,10,PHI 45,14,12,Justice Hill left tackle for 2 yards (tackle by Jalyx Hunt),2.040,1.620
3,12:31,3,8,PHI 43,14,12,Lamar Jackson pass complete deep middle to Mark Andrews for 23 yards (tackle by C.J. Gardner-Johnson),1.620,4.240
3,11:48,1,10,PHI 20,14,12,Lamar Jackson pass complete short left to Tylan Wallace for 2 yards (tackle by Reed Blankenship),4.240,3.960
3,11:22,2,8,PHI 18,14,12,Lamar Jackson pass complete short middle to Justice Hill for 3 yards (tackle by Zack Baun),3.960,3.700
3,10:43,3,5,PHI 15,14,12,Lamar Jackson sacked by and Zack Baun for -14 yards and Jalyx Hunt for -14 yards,3.700,1.500
3,10:00,4,19,PHI 29,14,12,Justin Tucker 47 yard field goal no good,1.500,-1.400
3,9:55,1,10,PHI 37,14,12,Jalen Hurts sacked by Broderick Washington for no gain,1.400,0.860
3,9:13,2,10,PHI 37,14,12,Saquon Barkley left end for -1 yards (tackle by Travis Jones),0.860,0.040
3,8:37,3,11,PHI 36,14,12,Jalen Hurts pass incomplete short left intended for Saquon Barkley. Penalty on Jordan Mailata: Offensive Holding 10 yards (declined),0.040,-0.980
3,8:29,4,11,PHI 36,14,12,Braden Mann punts 51 yards returned by Tylan Wallace for 5 yards. Tylan Wallace fumbles (forced by Kelee Ringo) recovered by Tylan Wallace at BAL-18,-0.980,-0.040
3,8:16,1,10,BAL 18,14,12,Derrick Henry left tackle for 4 yards (tackle by Nolan Smith),0.040,0.140
