Quarter,Time,Down,ToGo,Location,CHI,DET,Detail,EPB,EPA
2,9:00,2,4,CHI 4,0,10,David Montgomery right tackle for no gain (tackle by Byron Cowart). Penalty on Amon-Ra St. Brown: Offensive Holding 10 yards (accepted) (no play),5.340,3.580
2,8:46,2,14,CHI 14,0,10,Jared Goff pass complete short left to Jameson Williams for 5 yards (tackle by Terell Smith),3.580,3.360
2,8:01,3,9,CHI 9,0,10,Jared Goff sacked by Gervon Dexter for -9 yards,3.360,2.250
2,7:19,4,18,CHI 18,0,13,Jake Bates 36 yard field goal good,2.250,3.000
2,7:15,,,DET 35,0,13,Jake Bates kicks off 65 yards touchback.,0.000,0.940
2,7:15,1,10,CHI 30,0,13,D'Andre Swift up the middle for 4 yards (tackle by Brian Branch),0.940,0.930
2,6:42,2,6,CHI 34,0,13,Caleb Williams pass incomplete deep right intended for D.J. Moore (defended by Terrion Arnold),0.930,0.230
2,6:33,3,6,CHI 34,0,13,Caleb Williams pass incomplete deep left intended for Rome Odunze,0.230,-1.110
2,6:26,4,6,CHI 34,0,13,Tory Taylor punts 58 yards returned by Maurice Alexander for 23 yards (tackle by Roschon Johnson),-1.110,-1.000
2,6:13,1,10,DET 31,0,13,Jahmyr Gibbs up the middle for 28 yards (tackle by Jacob Martin and Jack Sanborn),1.000,2.850
2,5:36,1,10,CHI 41,0,13,Jahmyr Gibbs left end for 3 yards (tackle by Byron Cowart and Kevin Byard),2.850,2.710
2,4:54,2,7,CHI 38,0,13,Jared Goff pass complete short middle to Amon-Ra St. Brown for 6 yards (tackle by Kevin Byard),2.710,2.810
2,4:18,3,1,CHI 32,0,13,Jared Goff pass incomplete short right,2.810,1.310
2,4:09,4,1,CHI 32,0,13,David Montgomery up the middle for 2 yards (tackle by Darrell Taylor),1.310,3.580
2,3:34,1,10,CHI 30,0,13,Jared Goff pass incomplete short right,3.580,3.030
2,3:23,2,10,CHI 30,0,13,Jared Goff pass incomplete short middle intended for Sam LaPorta,3.030,2.340
