Quarter,Time,Down,ToGo,Location,CIN,DAL,Detail,EPB,EPA
2,10:37,3,3,DAL 44,7,7,Joe Burrow pass incomplete short left intended for Andrei Iosivas. Penalty on Cordell Volson: Offensive Holding 10 yards (accepted) (no play),1.880,0.560
2,10:37,3,13,CIN 46,7,7,Joe Burrow pass complete short left to Tee Higgins for 10 yards (tackle by Trevon Diggs),0.560,0.330
2,9:59,4,3,DAL 44,7,7,Joe Burrow pass incomplete short right intended for Chase Brown (defended by DeMarvion Overshown),0.330,-1.860
2,9:51,1,10,DAL 44,7,7,Rico Dowdle right end for 5 yards (tackle by Germaine Pratt),1.860,1.990
2,9:15,2,5,DAL 49,7,7,Cooper Rush pass complete short middle to Rico Dowdle for 10 yards (tackle by Jordan Battle),1.990,2.850
2,8:38,1,10,CIN 41,7,7,Rico Dowdle left guard for 19 yards (tackle by Germaine Pratt),2.850,4.110
2,7:56,1,10,CIN 22,7,7,Ezekiel Elliott left guard for 1 yard (tackle by Myles Murphy and McKinnley Jackson),4.110,3.700
2,7:18,2,9,CIN 21,7,7,Cooper Rush pass complete short right to Jake Ferguson for 4 yards (tackle by Mike Hilton),3.700,3.560
2,6:32,3,5,CIN 17,7,7,Cooper Rush pass incomplete short right intended for Jalen Tolbert,3.560,2.360
2,6:26,4,5,CIN 17,7,10,Brandon Aubrey 35 yard field goal good,2.360,3.000
2,6:23,,,DAL 35,7,10,Brandon Aubrey kicks off 64 yards returned by Khalil Herbert for 35 yards (tackle by C.J. Goodwin),0.000,1.330
2,6:17,1,10,CIN 36,7,10,Chase Brown right end for 3 yards (tackle by Chauncey Golston),1.330,1.200
2,5:38,2,7,CIN 39,7,10,Joe Burrow pass incomplete short left intended for Tee Higgins,1.200,0.500
2,5:34,3,7,CIN 39,7,10,Joe Burrow pass complete short right to Andrei Iosivas for 23 yards (tackle by Malik Hooker and Eric Kendricks),0.500,3.050
2,4:53,1,10,DAL 38,7,10,Joe Burrow pass complete short left to Ja'Marr Chase for 14 yards,3.050,3.970
2,4:12,1,10,DAL 24,7,10,Joe Burrow pass complete short right to Mike Gesicki for 5 yards (tackle by DeMarvion Overshown),3.970,4.120
2,3:36,2,5,DAL 19,13,10,Joe Burrow pass complete short left to Chase Brown for 13 yards (tackle by Donovan Wilson) CIN challenged the runner was in bounds ruling and the original play was overturned. Joe Burrow pass complete short left to Chase Brown for 19 yards touchdown,4.120,7.000
2,3:30,,,DAL 15,14,10,Cade York kicks extra point good,0.000,0.000
