Quarter,Time,Down,ToGo,Location,NOR,NYG,Detail,EPB,EPA
2,13:07,2,7,NOR 37,7,0,Drew Lock pass complete deep left to Malik Nabers for 17 yards (tackle by Demario Davis),2.780,4.240
2,12:32,1,10,NOR 20,7,0,Tyrone Tracy left tackle for 1 yard (tackle by Cameron Jordan and Ugo Amadi),4.240,3.820
2,12:07,2,9,NOR 19,7,0,Drew Lock pass incomplete short right,3.820,3.100
2,12:03,3,9,NOR 19,7,0,Drew Lock sacked by Bryan Bresee for -6 yards,3.100,1.800
2,11:24,4,15,NOR 25,7,3,Graham Gano 43 yard field goal good,1.800,3.000
2,11:20,,,NYG 35,7,3,Graham Gano kicks off 57 yards returned by Kendre Miller for 31 yards (tackle by Ty Summers),0.000,1.530
2,11:14,1,10,NOR 39,7,3,Alvin Kamara left end for 5 yards (tackle by Micah McFadden),1.530,1.660
2,10:36,2,5,NOR 44,7,3,Alvin Kamara up the middle for -2 yards (tackle by Cory Durden and Micah McFadden),1.660,0.700
2,9:51,3,7,NOR 42,7,3,Derek Carr pass complete short middle to Alvin Kamara for 4 yards (tackle by Kayvon Thibodeaux and Micah McFadden),0.700,-0.320
2,9:17,4,3,NOR 46,7,3,Jamaal Williams right end for 2 yards (tackle by Patrick Johnson and Dane Belton),-0.320,-2.390
2,9:12,1,10,NOR 48,7,3,Tyrone Tracy up the middle for 1 yard (tackle by Khalen Saunders),2.390,1.980
2,8:47,2,9,NOR 47,7,3,Drew Lock pass complete short middle to Tyrone Tracy for 5 yards (tackle by Pete Werner),1.980,1.950
2,8:11,3,4,NOR 42,7,3,Drew Lock pass incomplete short left intended for Malik Nabers (defended by Kool-Aid McKinstry),1.950,0.460
2,8:07,4,4,NOR 42,7,3,Jamie Gillan punts 34 yards out of bounds,0.460,0.380
2,7:59,1,10,NOR 8,7,3,Kendre Miller right tackle for no gain (tackle by Tre Hawkins),-0.380,-0.780
2,7:22,2,10,NOR 8,7,3,Derek Carr pass complete short left to Kevin Austin for 5 yards (tackle by Tre Hawkins),-0.780,-0.840
2,6:40,3,5,NOR 13,7,3,Derek Carr pass incomplete deep right intended for Kevin Austin,-0.840,-2.490
2,6:33,4,5,NOR 13,7,3,Matthew Hayball punts 43 yards returned by Ihmir Smith-Marsette for 15 yards touchdown. Penalty on Greg Stroman: Offensive Holding 10 yards (accepted),-2.490,-2.190
