Quarter,Time,Down,ToGo,Location,CHI,SFO,Detail,EPB,EPA
2,7:46,3,4,CHI 16,0,20,Brock Purdy pass complete short middle to Jauan Jennings for 16 yards touchdown,3.740,7.000
2,7:41,,,CHI 15,0,21,Jake Moody kicks extra point good,0.000,0.000
2,7:41,,,SFO 35,0,21,Jake Moody kicks off 65 yards touchback.,0.000,0.940
2,7:41,1,10,CHI 30,0,21,Caleb Williams pass complete short right to D.J. Moore for 4 yards (tackle by De'Vondre Campbell),0.940,0.930
2,7:08,2,6,CHI 34,0,21,D'Andre Swift up the middle for 1 yard (tackle by Fred Warner and Malik Mustapha),0.930,0.370
2,6:28,3,5,CHI 35,0,21,Caleb Williams sacked by Maliek Collins for -12 yards,0.370,-1.830
2,5:48,4,17,CHI 23,0,21,Tory Taylor punts 58 yards returned by Jacob Cowing for 7 yards (tackle by Tarvarius Moore),-1.830,-0.670
2,5:34,1,10,SFO 26,0,21,Brock Purdy pass incomplete deep left intended for Kyle Juszczyk (defended by Kevin Byard),0.670,0.130
2,5:28,2,10,SFO 26,0,21,Isaac Guerendo right end for 30 yards (tackle by Jaylon Johnson),0.130,2.650
2,5:00,1,10,CHI 44,0,21,Patrick Taylor right guard for 7 yards (tackle by Zacch Pickens),2.650,3.060
2,4:16,2,3,CHI 37,0,21,Brock Purdy pass complete short left to George Kittle for 32 yards (tackle by Jonathan Owens),3.060,6.060
2,3:25,1,5,CHI 5,0,21,Brock Purdy left tackle for 4 yards. Penalty on Ricky Pearsall: Offensive Holding 10 yards (accepted),6.060,4.770
2,3:20,1,11,CHI 11,0,21,Deebo Samuel right tackle for -4 yards (tackle by Jaylon Johnson),4.770,3.460
2,2:38,2,15,CHI 15,0,21,Brock Purdy pass complete short right to Ricky Pearsall for 5 yards (tackle by T.J. Edwards),3.460,3.130
2,2:00,3,10,CHI 10,0,21,Brock Purdy scrambles left end for 5 yards (tackle by Kyler Gordon),3.130,3.010
2,1:53,4,5,CHI 5,0,24,Jake Moody 23 yard field goal good,3.010,3.000
2,1:50,,,SFO 35,0,24,Jake Moody kicks off 25 yards. Penalty on Jake Moody: Kickoff Short of Landing Zone (accepted),0.000,1.600
2,1:50,1,10,CHI 40,0,24,Caleb Williams pass complete short left to Travis Homer for 6 yards (tackle by Renardo Green and Malik Mustapha),1.600,1.860
2,1:26,2,4,CHI 46,0,24,Caleb Williams pass complete short right to Travis Homer for 2 yards (tackle by De'Vondre Campbell),1.860,1.420
2,1:02,3,2,CHI 48,0,24,Caleb Williams sacked by Leonard Floyd for -6 yards,1.420,-0.590
2,0:14,,,,,,Timeout #1 by Chicago Bears,,
2,0:14,4,8,CHI 42,0,24,Tory Taylor punts 46 yards returned by Jacob Cowing for no gain (tackle by Jonathan Owens). Penalty on Isaac Yiadom: Offensive Holding 6 yards (accepted),-0.590,0.380
