Quarter,Time,Down,ToGo,Location,ATL,MIN,Detail,EPB,EPA
,,,,,,,Falcons won the coin toss Falcons to receive the opening kickoff.,,
2,6:50,3,1,MIN 47,7,7,Kirk Cousins sacked by Jamin Davis for -6 yards. Penalty on Bijan Robinson: Offensive Holding 10 yards (declined),1.820,-0.260
2,6:26,4,7,ATL 47,7,7,Bradley Pinion punts 41 yards fair catch by Brandon Powell at MIN-13. Penalty on C.J. Ham: Defensive Offside 5 yards (accepted) (no play),-0.260,0.070
2,6:26,4,2,MIN 48,7,7,Penalty on Kirk Cousins: Delay of Game 5 yards (accepted) (no play),0.070,-0.260
2,6:26,4,7,ATL 47,7,7,Bradley Pinion punts 53 yards touchback.,-0.260,-0.280
2,6:17,1,10,MIN 20,7,7,Sam Darnold scrambles left tackle for 3 yards (tackle by Kaden Elliss),0.280,0.140
2,5:39,2,7,MIN 23,7,7,Sam Darnold sacked by Matt Judon for -6 yards,0.140,-1.510
2,5:02,3,13,MIN 17,7,7,Sam Darnold pass complete deep middle to Justin Jefferson for 20 yards (tackle by Troy Andersen),-1.510,1.400
2,4:34,1,10,MIN 37,7,7,Sam Darnold pass incomplete deep left intended for Jordan Addison. Penalty on Mike Hughes: Defensive Pass Interference 47 yards (accepted) (no play),1.400,4.510
2,4:25,1,10,ATL 16,7,7,Sam Darnold pass complete short left to Jordan Addison for -5 yards (tackle by David Onyemata),4.510,3.280
2,3:39,2,15,ATL 21,7,7,Sam Darnold pass incomplete short left intended for Josh Oliver,3.280,2.610
2,3:35,3,15,ATL 21,7,7,Sam Darnold sacked by Arnold Ebiketie for no gain. Sam Darnold fumbles (forced by Arnold Ebiketie) recovered by Clark Phillips at ATL-30 Replay Assistant challenged the fumble ruling and the original play was overturned. Sam Darnold pass incomplete short right intended for Jordan Addison (defended by Arnold Ebiketie),2.610,2.060
2,3:30,4,15,ATL 21,7,7,Will Reichard yard field goal good. Penalty on Kentavius Street: Defensive Holding 5 yards (accepted) (no play),2.060,4.510
2,3:27,1,10,ATL 16,7,7,Cam Akers left guard for -1 yards (tackle by Lorenzo Carter),4.510,3.770
2,2:49,2,11,ATL 17,7,7,Sam Darnold pass complete short right to Jordan Addison for 5 yards (tackle by DeAundre Alford and Jessie Bates),3.770,3.730
2,2:05,3,6,ATL 12,7,13,Sam Darnold pass complete short middle to Justin Jefferson for 12 yards touchdown,3.730,7.000
2,2:01,,,ATL 15,7,14,Will Reichard kicks extra point good,0.000,0.000
2,2:01,,,MIN 35,7,14,Will Reichard kicks off 65 yards touchback.,0.000,0.940
2,2:01,1,10,ATL 30,7,14,Bijan Robinson left tackle for no gain (tackle by Blake Cashman). Penalty on Matthew Bergeron: Offensive Holding 10 yards (accepted) (no play),0.940,0.280
2,1:56,1,20,ATL 20,7,14,Kirk Cousins pass complete short left to Ray-Ray McCloud for 4 yards (tackle by Shaquill Griffin),0.280,-0.420
2,1:52,,,,,,Timeout #1 by Minnesota Vikings,,
2,1:52,2,16,ATL 24,7,14,Kirk Cousins pass complete short right to Ray-Ray McCloud for 16 yards (tackle by Josh Metellus),-0.420,1.600
2,1:46,1,10,ATL 40,7,14,Kirk Cousins scrambles right end for no gain (tackle by Camryn Bynum). Penalty on Chris Lindstrom: Offensive Holding 10 yards (accepted) (no play),1.600,0.940
2,1:39,1,20,ATL 30,7,14,Kirk Cousins pass complete short left to Ray-Ray McCloud for 12 yards (tackle by Fabian Moreau),0.940,1.320
2,1:02,2,8,ATL 42,7,14,Kirk Cousins pass incomplete short left intended for Kyle Pitts,1.320,0.630
2,0:59,3,8,ATL 42,7,14,Kirk Cousins pass complete deep left to Darnell Mooney for 49 yards (tackle by Camryn Bynum),0.630,5.140
2,0:45,,,,,,Timeout #1 by Atlanta Falcons,,
2,0:45,1,9,MIN 9,7,14,Bijan Robinson right end for 8 yards (tackle by Fabian Moreau),5.140,5.910
2,0:20,,,,,,Timeout #2 by Minnesota Vikings,,
2,0:20,2,1,MIN 1,7,14,Bijan Robinson left end for -1 yards (tackle by Harrison Smith and Josh Metellus),5.910,4.950
2,0:15,,,,,,Timeout #2 by Atlanta Falcons,,
2,0:15,3,2,MIN 2,7,14,Kirk Cousins pass incomplete short left intended for Drake London (defended by Jalen Redmond),4.950,3.250
2,0:13,4,2,MIN 2,10,14,Younghoe Koo 20 yard field goal good,3.250,3.000
2,0:10,,,ATL 35,10,14,Bradley Pinion kicks off 65 yards touchback.,0.000,0.940
2,0:10,1,10,MIN 30,10,14,Sam Darnold kneels for -1 yards,0.940,0.260
3,15:00,,,ATL 35,10,14,Bradley Pinion kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,MIN 30,10,14,Aaron Jones left tackle for 5 yards (tackle by Zach Harrison and Eddie Goldman),0.940,1.070
3,14:25,2,5,MIN 35,10,14,Sam Darnold pass complete short left to T.J. Hockenson for 10 yards (tackle by Zach Harrison and Kaden Elliss),1.070,1.930
3,13:55,1,10,MIN 45,10,14,Sam Darnold pass complete short left to Aaron Jones for 6 yards (tackle by Justin Simmons),1.930,2.190
3,13:12,2,4,ATL 49,10,14,Aaron Jones up the middle for -1 yards (tackle by Grady Jarrett and Nathan Landman),2.190,1.360
3,12:33,3,5,ATL 50,10,14,Sam Darnold pass complete short right to T.J. Hockenson for 18 yards (tackle by Justin Simmons and Jessie Bates),1.360,3.450
3,11:54,1,10,ATL 32,10,14,Aaron Jones left tackle for 6 yards (tackle by Kentavius Street),3.450,3.710
3,11:13,2,4,ATL 26,10,14,Sam Darnold pass incomplete short left intended for Josh Oliver. Penalty on Jordan Addison: Offensive Pass Interference 10 yards (accepted) (no play),3.710,2.360
3,11:07,2,14,ATL 36,10,14,Sam Darnold sacked by Kaden Elliss for -8 yards,2.360,0.630
3,10:40,3,22,ATL 44,10,14,Sam Darnold pass complete short left to Justin Jefferson for 15 yards (tackle by Jessie Bates),0.630,1.500
3,10:01,4,7,ATL 29,10,14,Will Reichard 47 yard field goal no good,1.500,-1.400
3,9:56,1,10,ATL 37,10,14,Bijan Robinson right end for -4 yards (tackle by Jalen Redmond),1.400,0.320
3,9:18,2,14,ATL 33,10,14,Kirk Cousins pass incomplete deep middle intended for Kyle Pitts,0.320,-0.360
3,9:12,3,14,ATL 33,10,14,Kirk Cousins pass complete deep middle to Drake London for 20 yards (tackle by Shaquill Griffin) MIN challenged the pass interception ruling and the play was upheld.,-0.360,2.460
3,8:30,1,10,MIN 47,10,14,Kirk Cousins pass incomplete short middle intended for Drake London (defended by Harrison Phillips),2.460,1.910
3,8:28,2,10,MIN 47,10,14,Bijan Robinson right end for 7 yards (tackle by Andrew Van Ginkel),1.910,2.150
3,7:48,3,3,MIN 40,10,14,Kirk Cousins pass complete short middle to Ray-Ray McCloud for 27 yards (tackle by Shaquill Griffin),2.150,4.710
3,7:04,1,10,MIN 13,10,14,Bijan Robinson left tackle for 2 yards (tackle by Camryn Bynum). Penalty on Drew Dalman: Offensive Holding 10 yards (accepted),4.710,4.170
3,6:37,1,18,MIN 21,10,14,Bijan Robinson left end for 4 yards (tackle by Gabriel Murphy),4.170,3.500
3,5:58,2,14,MIN 17,10,14,Kirk Cousins pass incomplete short right intended for Ray-Ray McCloud (defended by Andrew Van Ginkel),3.500,2.880
3,5:52,3,14,MIN 17,10,14,Bijan Robinson left guard for 6 yards (tackle by Jonathan Greenard and Blake Cashman),2.880,2.700
3,5:09,4,8,MIN 11,13,14,Younghoe Koo 29 yard field goal good,2.700,3.000
3,5:06,,,ATL 35,13,14,Bradley Pinion kicks off 62 yards returned by Ty Chandler for 22 yards (tackle by Antonio Hamilton),0.000,0.610
3,5:01,1,10,MIN 25,13,14,Sam Darnold pass complete short left to Justin Jefferson for 21 yards (tackle by Justin Simmons),0.610,1.990
3,4:25,1,10,MIN 46,13,14,Aaron Jones up the middle for 2 yards (tackle by Eddie Goldman),1.990,1.720
3,3:42,2,8,MIN 48,13,14,Sam Darnold pass incomplete deep left intended for Jordan Addison,1.720,1.030
3,3:36,3,8,MIN 48,13,20,Sam Darnold pass complete deep right to Justin Jefferson for 52 yards touchdown,1.030,7.000
3,3:25,,,ATL 15,13,21,Will Reichard kicks extra point good,0.000,0.000
3,3:25,,,MIN 35,13,21,Will Reichard kicks off 65 yards touchback.,0.000,0.940
3,3:25,1,10,ATL 30,13,21,Tyler Allgeier left end for 25 yards (tackle by Byron Murphy),0.940,2.590
3,2:38,1,10,MIN 45,13,21,Tyler Allgeier up the middle for 5 yards (tackle by Harrison Phillips),2.590,2.720
3,2:05,2,5,MIN 40,13,21,Kirk Cousins pass complete short left to Drake London for 11 yards (tackle by Fabian Moreau),2.720,3.640
3,1:24,1,10,MIN 29,13,21,Kirk Cousins pass complete short left to Ray-Ray McCloud for 16 yards (tackle by Jalen Redmond),3.640,4.710
3,0:43,1,10,MIN 13,19,21,Bijan Robinson right end for 13 yards touchdown,4.710,7.000
3,0:39,,,MIN 2,21,21,Two Point Attempt: Bijan Robinson rushes conversion succeeds.,1.000,1.000
3,0:39,,,ATL 35,21,21,Bradley Pinion kicks off 65 yards touchback.,0.000,0.940
3,0:39,1,10,MIN 30,21,21,Penalty on Blake Brandel: False Start 5 yards (accepted) (no play),0.940,0.610
3,0:39,1,15,MIN 25,21,21,Cam Akers right guard for -2 yards (tackle by Grady Jarrett),0.610,-0.550
3,0:13,2,17,MIN 23,21,21,Penalty on Grady Jarrett: Neutral Zone Infraction 5 yards (accepted) (no play),-0.550,0.120
4,15:00,2,12,MIN 28,21,21,Sam Darnold pass complete short left to T.J. Hockenson for 14 yards (tackle by Matt Judon),0.120,1.730
4,14:35,1,10,MIN 42,21,21,Sam Darnold pass complete deep right to Jordan Addison for 42 yards (tackle by Clark Phillips),1.730,4.510
4,13:49,1,10,ATL 16,21,21,Sam Darnold pass incomplete deep middle intended for T.J. Hockenson,4.510,3.900
4,13:43,2,10,ATL 16,21,21,Sam Darnold pass complete short left to Justin Jefferson for 5 yards (tackle by Justin Simmons),3.900,3.940
4,13:04,3,5,ATL 11,21,27,Sam Darnold pass complete short right to Jordan Addison for 11 yards touchdown,3.940,7.000
4,12:59,,,ATL 15,21,28,Will Reichard kicks extra point good,0.000,0.000
4,12:59,,,MIN 35,21,28,Will Reichard kicks off 65 yards returned by Ray-Ray McCloud for 31 yards. Ray-Ray McCloud fumbles (forced by Brian Asamoah) recovered by C.J. Ham at ATL-32 (tackle by Brian Asamoah),0.000,-3.450
4,12:53,1,10,ATL 32,21,28,Aaron Jones right end for 7 yards (tackle by Zach Harrison and Jessie Bates),3.450,3.850
4,12:15,2,3,ATL 25,21,28,Sam Darnold pass complete short left to Justin Jefferson for 7 yards (tackle by Kaden Elliss),3.850,4.370
4,11:30,1,10,ATL 18,21,28,Sam Darnold pass complete short left to Aaron Jones for 5 yards (tackle by Kaden Elliss),4.370,4.610
4,10:51,2,5,ATL 13,21,28,Sam Darnold pass complete short right to T.J. Hockenson for 3 yards (tackle by Jessie Bates),4.610,4.510
4,10:05,3,2,ATL 10,21,28,Sam Darnold pass complete short left to Jordan Addison for 9 yards (tackle by DeAundre Alford),4.510,6.970
4,9:36,1,1,ATL 1,21,28,Sam Darnold up the middle for no gain (tackle by Lorenzo Carter),6.970,5.910
4,8:58,2,1,ATL 1,21,28,Aaron Jones right guard for no gain (tackle by Troy Andersen). Penalty on Sam Darnold: Illegal Shift 5 yards (accepted) (no play),5.910,4.950
4,8:28,2,6,ATL 6,21,34,Sam Darnold pass complete short right to Jordan Addison for 6 yards touchdown,4.950,7.000
4,8:23,,,ATL 15,21,35,Will Reichard kicks extra point good,0.000,0.000
4,8:23,,,MIN 35,21,35,Will Reichard kicks off 65 yards touchback.,0.000,0.940
4,8:23,1,10,ATL 30,21,35,Kirk Cousins pass complete short middle to Darnell Mooney for 18 yards (tackle by Camryn Bynum and Harrison Smith),0.940,2.130
4,8:04,1,10,ATL 48,21,35,Kirk Cousins pass incomplete short left intended for Darnell Mooney,2.130,1.580
4,7:59,2,10,ATL 48,21,35,Kirk Cousins pass complete short right to Ray-Ray McCloud for 9 yards (tackle by Blake Cashman),1.580,2.080
4,7:35,3,1,MIN 43,21,35,Tyler Allgeier left guard for 4 yards (tackle by Blake Cashman),2.080,2.980
4,7:12,1,10,MIN 39,21,35,Kirk Cousins pass complete short right to Kyle Pitts for 14 yards (tackle by Kamu Grugier-Hill),2.980,3.910
4,6:35,1,10,MIN 25,21,35,Kirk Cousins pass deep right intended for Kyle Pitts is intercepted by Byron Murphy at MIN-2 and returned for no gain,3.910,0.380
4,6:26,1,10,MIN 2,21,35,Penalty on Eddie Goldman: Neutral Zone Infraction 5 yards (accepted) (no play),-0.380,-0.190
