,,Off.,Off.,Def.,Def.,ST,ST,-additional
Player,Pos,Num,Pct,Num,Pct,Num,Pct,-9999
Trey Pipkins,T,69,100%,0,0%,5,21%,PipkTr00
Zion Johnson,G,69,100%,0,0%,5,21%,JohnZi00
Rashawn Slater,T,69,100%,0,0%,5,21%,SlatRa00
Joe Alt,T,69,100%,0,0%,5,21%,AltxJo01
Bradley Bozeman,C,69,100%,0,0%,0,0%,BozeBr00
Justin Herbert,QB,69,100%,0,0%,0,0%,HerbJu00
Quentin Johnston,WR,48,70%,0,0%,0,0%,JohnQu02
Hayden Hurst,TE,38,55%,0,0%,0,0%,HursHa00
Will Dissly,TE,35,51%,0,0%,0,0%,DissWi00
Ladd McConkey,WR,34,49%,0,0%,0,0%,McCoLa00
Gus Edwards,RB,33,48%,0,0%,0,0%,EdwaGu00
J.K. Dobbins,RB,32,46%,0,0%,0,0%,DobbJK00
Josh Palmer,WR,30,43%,0,0%,0,0%,PalmJo00
Scott Matlock,FB,29,42%,8,17%,15,63%,MatlSc00
Simi Fehoko,WR,28,41%,0,0%,13,54%,FehoSi00
Eric Tomlinson,TE,15,22%,0,0%,5,21%,TomlEr01
Derius Davis,WR,14,20%,0,0%,9,38%,DaviDe02
Hassan Haskins,RB,5,7%,0,0%,16,67%,HaskHa00
Stone Smartt,TE,4,6%,0,0%,8,33%,SmarSt00
Elijah Molden,CB,0,0%,48,100%,9,38%,MoldEl00
Asante Samuel Jr.,CB,0,0%,44,92%,3,13%,SamuAs00
Derwin James,LB,0,0%,44,92%,2,8%,JameDe00
Daiyan Henley,LB,0,0%,43,90%,11,46%,HenlDa00
Kristian Fulton,CB,0,0%,43,90%,1,4%,FultKr00
Ja'Sir Taylor,CB,0,0%,41,85%,5,21%,TaylJa04
Khalil Mack,DE,0,0%,32,67%,0,0%,MackKh00
Tuli Tuipulotu,DE,0,0%,31,65%,14,58%,TuipTu00
Bud Dupree,LB,0,0%,31,65%,3,13%,DuprAl00
Denzel Perryman,LB,0,0%,31,65%,2,8%,PerrDe00
Otito Ogbonnia,DT,0,0%,23,48%,0,0%,OgboOt00
Morgan Fox,DT,0,0%,22,46%,3,13%,FoxxMo00
Poona Ford,DE,0,0%,19,40%,1,4%,FordPo00
Joey Bosa,DE,0,0%,14,29%,0,0%,BosaJo00
Teair Tart,DT,0,0%,14,29%,0,0%,TartTe00
AJ Finley,FS,0,0%,12,25%,16,67%,FinlAJ00
Junior Colson,LB,0,0%,7,15%,2,8%,ColsJu00
Tony Jefferson,SS,0,0%,7,15%,0,0%,JeffTo00
Troy Dye,LB,0,0%,5,10%,18,75%,DyexTr00
Deane Leonard,CB,0,0%,5,10%,18,75%,LeonDe00
Cam Hart,CB,0,0%,4,8%,16,67%,HartCa00
Shaquille Quarterman,LB,0,0%,0,0%,17,71%,QuarSh00
Cameron Dicker,K,0,0%,0,0%,11,46%,DickCa00
JK Scott,P,0,0%,0,0%,8,33%,ScotJK00
Josh Harris,LS,0,0%,0,0%,8,33%,HarrJo02
Jamaree Salyer,G,0,0%,0,0%,5,21%,SalyJa00
Brenden Jaimes,G,0,0%,0,0%,5,21%,JaimBr00
