,,Off.,Off.,Def.,Def.,ST,ST,-additional
Player,Pos,Num,Pct,Num,Pct,Num,Pct,-9999
Spencer Brown,T,45,100%,0,0%,6,29%,BrowSp00
David Edwards,G,45,100%,0,0%,6,29%,EdwaDa01
O'Cyrus Torrence,G,41,91%,0,0%,6,29%,TorrOC00
Dion Dawkins,T,41,91%,0,0%,6,29%,DawkDi00
Josh Allen,QB,41,91%,0,0%,0,0%,AlleJo02
Connor McGovern,C,41,91%,0,0%,0,0%,McGoCo01
Keon Coleman,WR,41,91%,0,0%,0,0%,ColeKe02
Mack Hollins,WR,32,71%,0,0%,10,48%,HollMa00
Khalil Shakir,WR,31,69%,0,0%,0,0%,ShakKh00
Dawson Knox,TE,24,53%,0,0%,0,0%,KnoxDa00
James Cook,RB,21,47%,0,0%,0,0%,CookJa01
Dalton Kincaid,TE,19,42%,0,0%,0,0%,KincDa00
Ray Davis,RB,14,31%,0,0%,3,14%,DaviRa04
Alec Anderson,G,13,29%,0,0%,9,43%,AndeAl01
Curtis Samuel,WR,12,27%,0,0%,0,0%,SamuCu00
Ty Johnson,RB,7,16%,0,0%,4,19%,JohnTy02
Quintin Morris,TE,6,13%,0,0%,19,90%,MorrQu00
Reggie Gilliam,FB,5,11%,0,0%,19,90%,GillRe00
Tylan Grable,T,4,9%,0,0%,6,29%,GrabTy00
Mitchell Trubisky,QB,4,9%,0,0%,0,0%,TrubMi00
Marquez Valdes-Scantling,WR,4,9%,0,0%,0,0%,ValdMa00
Sedrick Van Pran-Granger,C,4,9%,0,0%,0,0%,VanPSe00
Christian Benford,CB,0,0%,76,100%,3,14%,BenfCh00
Cameron Lewis,FS,0,0%,70,92%,8,38%,LewiCa00
Taylor Rapp,SS,0,0%,70,92%,2,10%,RappTa00
Damar Hamlin,SS,0,0%,70,92%,2,10%,HamlDa00
Rasul Douglas,CB,0,0%,70,92%,0,0%,DougRa00
Baylon Spector,LB,0,0%,62,82%,9,43%,SpecBa00
Dorian Williams,LB,0,0%,53,70%,8,38%,WillDo04
Gregory Rousseau,DE,0,0%,52,68%,2,10%,RousGr00
A.J. Epenesa,DE,0,0%,50,66%,2,10%,EpenAJ00
Ed Oliver,DT,0,0%,46,61%,0,0%,OlivEd00
Austin Johnson,DT,0,0%,37,49%,2,10%,JohnAu01
DaQuan Jones,DT,0,0%,35,46%,0,0%,JoneDa04
Von Miller,DE,0,0%,29,38%,0,0%,MillVo00
DeWayne Carter,DT,0,0%,25,33%,2,10%,CartDe03
Ja'Marcus Ingram,CB,0,0%,23,30%,11,52%,IngrJa00
Casey Toohill,DE,0,0%,23,30%,5,24%,ToohCa00
Terrel Bernard,LB,0,0%,14,18%,0,0%,BernTe00
Kingsley Jonathan,DE,0,0%,7,9%,13,62%,JonaKi00
Nicholas Morrow,LB,0,0%,6,8%,15,71%,MorrNi00
Cole Bishop,CB,0,0%,6,8%,13,62%,BishCo00
Mike Edwards,FS,0,0%,6,8%,4,19%,EdwaMi01
Kaiir Elam,CB,0,0%,6,8%,2,10%,ElamKa00
Tyler Bass,K,0,0%,0,0%,12,57%,BassTy00
Reid Ferguson,LS,0,0%,0,0%,9,43%,FergRe00
Sam Martin,P,0,0%,0,0%,9,43%,MartSa01
Brandon Codrington,CB,0,0%,0,0%,4,19%,CodrBr00
