,,Off.,Off.,Def.,Def.,ST,ST,-additional
Player,Pos,Num,Pct,Num,Pct,Num,Pct,-9999
Damien Lewis,G,48,100%,0,0%,1,4%,LewiDa05
Ikem Ekwonu,T,48,100%,0,0%,1,4%,EkwoIk00
Taylor Moton,T,48,100%,0,0%,1,4%,MotoTa00
Robert Hunt,G,48,100%,0,0%,1,4%,HuntRo01
Bryce Young,QB,48,100%,0,0%,0,0%,YounBr01
Austin Corbett,C,48,100%,0,0%,0,0%,CorbAu00
Adam Thielen,WR,45,94%,0,0%,0,0%,ThieAd00
Diontae Johnson,WR,45,94%,0,0%,0,0%,JohnDi01
Jonathan Mingo,WR,30,63%,0,0%,6,25%,MingJo00
Chuba Hubbard,RB,28,58%,0,0%,0,0%,HubbCh01
Ja'Tavion Sanders,TE,24,50%,0,0%,7,29%,SandJa01
Tommy Tremble,TE,22,46%,0,0%,0,0%,TremTo00
Xavier Legette,WR,20,42%,0,0%,6,25%,LegeXa00
Miles Sanders,RB,20,42%,0,0%,0,0%,SandMi01
Jordan Matthews,TE,4,8%,0,0%,13,55%,MattJo00
David Moore,WR,2,4%,0,0%,9,38%,MoorDa03
Michael Jackson,CB,0,0%,69,100%,5,21%,JackMi01
Jaycee Horn,CB,0,0%,69,100%,5,21%,HornJa00
Shaq Thompson,LB,0,0%,69,100%,5,21%,ThomSh01
Xavier Woods,FS,0,0%,69,100%,0,0%,WoodXa00
Josey Jewell,LB,0,0%,69,100%,0,0%,JeweJo00
Jordan Fuller,FS,0,0%,69,100%,0,0%,FullJo01
A'Shawn Robinson,DE,0,0%,41,59%,6,25%,RobiAS00
Nick Thurman,DT,0,0%,40,58%,4,17%,ThurNi00
Shy Tuttle,DT,0,0%,40,58%,1,4%,TuttSh00
Jadeveon Clowney,LB,0,0%,40,58%,0,0%,ClowJa00
DJ Johnson,LB,0,0%,38,55%,0,0%,JohnDJ00
Charles Harris,DE,0,0%,34,49%,7,29%,HarrCh03
LaBryan Ray,DE,0,0%,32,46%,5,21%,RayxLa02
Jayden Peevy,DT,0,0%,27,39%,7,29%,PeevJa00
Troy Hill,CB,0,0%,27,39%,0,0%,HillTr01
Eku Leota,LB,0,0%,26,38%,10,42%,LeotEk00
Lonnie Johnson Jr.,FS,0,0%,0,0%,23,97%,JohnLo01
Nick Scott,SS,0,0%,0,0%,21,88%,ScotNi01
Claudin Cherelus,LB,0,0%,0,0%,18,76%,CherCl00
Trevin Wallace,LB,0,0%,0,0%,18,76%,WallTr00
Jon Rhattigan,LB,0,0%,0,0%,18,76%,RhatJo00
Feleipe Franks,TE,0,0%,0,0%,18,76%,FranFe00
Jammie Robinson,SS,0,0%,0,0%,10,42%,RobiJa03
Raheem Blackshear,RB,0,0%,0,0%,9,38%,BlacRa00
Johnny Hekker,P,0,0%,0,0%,8,34%,HekkJo00
J.J. Jansen,LS,0,0%,0,0%,8,34%,JansJ.00
Tariq Castro-Fields,CB,0,0%,0,0%,5,21%,CastTa00
Eddy Pineiro,K,0,0%,0,0%,3,13%,PineEd00
Yosh Nijman,T,0,0%,0,0%,1,4%,NijmYo01
Brady Christensen,G,0,0%,0,0%,1,4%,ChriBr00
Chandler Zavala,G,0,0%,0,0%,1,4%,ZavaCh00
