,,Off.,Off.,Def.,Def.,ST,ST,-additional
Player,Pos,Num,Pct,Num,Pct,Num,Pct,-9999
Tyler Smith,T,70,100%,0,0%,5,19%,SmitTy02
Cooper Beebe,G,70,100%,0,0%,5,19%,BeebCo00
Tyler Guyton,T,70,100%,0,0%,5,19%,GuytTy00
Terence Steele,T,70,100%,0,0%,0,0%,SteeTe01
Dak Prescott,QB,67,96%,0,0%,0,0%,PresDa01
Zack Martin,G,62,89%,0,0%,0,0%,MartZa00
Jalen Tolbert,WR,60,86%,0,0%,0,0%,TolbJa00
CeeDee Lamb,WR,58,83%,0,0%,0,0%,LambCe00
Brandin Cooks,WR,57,81%,0,0%,0,0%,CookBr00
Rico Dowdle,RB,30,43%,0,0%,0,0%,DowdRi01
Jalen Brooks,WR,28,40%,0,0%,17,63%,BrooJa03
Luke Schoonmaker,TE,28,40%,0,0%,5,19%,SchoLu00
Ezekiel Elliott,RB,28,40%,0,0%,0,0%,ElliEz00
Brevyn Spann-Ford,TE,22,31%,0,0%,1,4%,SpanBr00
KaVontae Turpin,WR,19,27%,0,0%,9,33%,TurpKa00
Hunter Luepke,RB,10,14%,0,0%,15,56%,LuepHu00
Deuce Vaughn,RB,10,14%,0,0%,1,4%,VaugDe00
T.J. Bass,G,8,11%,0,0%,5,19%,BassTJ00
Cooper Rush,QB,3,4%,0,0%,0,0%,RushCo00
Eric Kendricks,LB,0,0%,56,95%,0,0%,KendEr00
Donovan Wilson,SS,0,0%,56,95%,0,0%,WilsDo01
Trevon Diggs,CB,0,0%,55,93%,0,0%,DiggTr00
Malik Hooker,FS,0,0%,54,92%,0,0%,HookMa00
Micah Parsons,LB,0,0%,44,75%,4,15%,ParsMi00
Damone Clark,LB,0,0%,41,69%,8,30%,ClarDa02
Osa Odighizuwa,DT,0,0%,40,68%,7,26%,OdigOs00
Marist Liufau,LB,0,0%,39,66%,13,48%,LiufMa00
Jourdan Lewis,CB,0,0%,34,58%,0,0%,LewiJo01
DeMarcus Lawrence,DE,0,0%,34,58%,0,0%,LawrDe00
Mazi Smith,DT,0,0%,33,56%,0,0%,SmitMa06
Caelen Carson,CB,0,0%,31,53%,0,0%,CarsCa01
Chauncey Golston,DT,0,0%,28,47%,12,44%,GolsCh00
Linval Joseph,NT,0,0%,24,41%,0,0%,JoseLi99
Jordan Phillips,DT,0,0%,19,32%,0,0%,PhilJo01
Marshawn Kneeland,DE,0,0%,18,31%,7,26%,KneeMa00
DeMarvion Overshown,LB,0,0%,18,31%,5,19%,OverDe00
Tyrus Wheat,DE,0,0%,10,17%,18,67%,WheaTy02
Juanyeh Thomas,FS,0,0%,5,8%,22,81%,ThomJu03
Markquese Bell,FS,0,0%,4,7%,22,81%,BellMa01
Israel Mukuamu,FS,0,0%,3,5%,21,78%,MukuIs00
Nick Vigil,LB,0,0%,3,5%,15,56%,VigiNi00
C.J. Goodwin,CB,0,0%,0,0%,22,81%,GoodC.00
Princeton Fant,TE,0,0%,0,0%,14,52%,FantPr00
Brock Hoffman,C,0,0%,0,0%,12,44%,HoffBr00
Brandon Aubrey,K,0,0%,0,0%,10,37%,AubrBr00
Trent Sieg,LS,0,0%,0,0%,6,22%,SiegTr00
Bryan Anger,P,0,0%,0,0%,6,22%,AngeBr00
Asim Richards,G,0,0%,0,0%,5,19%,RichAs00
